,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
0,1,0,0,1,0,0,1,12,2,1,0,1,6,4,7,3,0,1,1,3,7,0,0,0,0,0,0,0,True,True
1,0,0,0,0,0,0,0,15,3,1,1,1,7,7,14,3,1,0,1,7,6,10,1,1,0,0,5,2,True,True
2,3,1,0,1,0,1,3,6,3,0,0,1,3,6,9,0,1,1,0,4,1,11,1,1,1,0,5,3,False,True
3,7,3,0,1,1,3,7,5,2,0,1,1,2,5,10,1,1,0,0,5,2,12,2,1,0,1,6,4,False,True
4,7,3,0,1,1,3,7,10,1,1,0,0,5,2,12,2,1,0,1,6,4,11,1,1,1,0,5,3,False,False
5,12,2,1,0,1,6,4,13,2,1,1,1,6,5,4,2,0,0,1,2,4,7,3,0,1,1,3,7,True,True
6,4,2,0,0,1,2,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
7,5,2,0,1,1,2,5,7,3,0,1,1,3,7,11,1,1,1,0,5,3,10,1,1,0,0,5,2,False,False
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,1,1,6,5,13,2,1,1,1,6,5,False,False
9,15,3,1,1,1,7,7,4,2,0,0,1,2,4,0,0,0,0,0,0,0,14,3,1,0,1,7,6,False,True
10,2,1,0,0,0,1,2,7,3,0,1,1,3,7,12,2,1,0,1,6,4,0,0,0,0,0,0,0,True,True
11,3,1,0,1,0,1,3,3,1,0,1,0,1,3,15,3,1,1,1,7,7,15,3,1,1,1,7,7,False,False
12,13,2,1,1,1,6,5,0,0,0,0,0,0,0,10,1,1,0,0,5,2,4,2,0,0,1,2,4,True,True
13,6,3,0,0,1,3,6,2,1,0,0,0,1,2,0,0,0,0,0,0,0,9,0,1,1,0,4,1,True,False
14,9,0,1,1,0,4,1,3,1,0,1,0,1,3,11,1,1,1,0,5,3,7,3,0,1,1,3,7,True,False
15,10,1,1,0,0,5,2,9,0,1,1,0,4,1,7,3,0,1,1,3,7,12,2,1,0,1,6,4,False,False
16,8,0,1,0,0,4,0,3,1,0,1,0,1,3,2,1,0,0,0,1,2,0,0,0,0,0,0,0,True,True
17,1,0,0,1,0,0,1,15,3,1,1,1,7,7,9,0,1,1,0,4,1,10,1,1,0,0,5,2,False,True
18,3,1,0,1,0,1,3,8,0,1,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,True,True
19,14,3,1,0,1,7,6,9,0,1,1,0,4,1,6,3,0,0,1,3,6,13,2,1,1,1,6,5,False,True
20,6,3,0,0,1,3,6,12,2,1,0,1,6,4,7,3,0,1,1,3,7,3,1,0,1,0,1,3,True,False
21,12,2,1,0,1,6,4,3,1,0,1,0,1,3,5,2,0,1,1,2,5,7,3,0,1,1,3,7,False,True
22,4,2,0,0,1,2,4,3,1,0,1,0,1,3,15,3,1,1,1,7,7,0,0,0,0,0,0,0,False,False
23,5,2,0,1,1,2,5,14,3,1,0,1,7,6,15,3,1,1,1,7,7,10,1,1,0,0,5,2,True,False
24,8,0,1,0,0,4,0,6,3,0,0,1,3,6,3,1,0,1,0,1,3,13,2,1,1,1,6,5,False,False
25,14,3,1,0,1,7,6,4,2,0,0,1,2,4,0,0,0,0,0,0,0,15,3,1,1,1,7,7,False,True
26,10,1,1,0,0,5,2,14,3,1,0,1,7,6,13,2,1,1,1,6,5,8,0,1,0,0,4,0,True,True
27,3,1,0,1,0,1,3,10,1,1,0,0,5,2,8,0,1,0,0,4,0,15,3,1,1,1,7,7,True,False
28,12,2,1,0,1,6,4,1,0,0,1,0,0,1,10,1,1,0,0,5,2,5,2,0,1,1,2,5,True,True
29,15,3,1,1,1,7,7,12,2,1,0,1,6,4,5,2,0,1,1,2,5,9,0,1,1,0,4,1,True,False
30,9,0,1,1,0,4,1,5,2,0,1,1,2,5,10,1,1,0,0,5,2,6,3,0,0,1,3,6,False,False
31,3,1,0,1,0,1,3,8,0,1,0,0,4,0,13,2,1,1,1,6,5,5,2,0,1,1,2,5,False,False
32,1,0,0,1,0,0,1,8,0,1,0,0,4,0,6,3,0,0,1,3,6,8,0,1,0,0,4,0,False,True
33,9,0,1,1,0,4,1,6,3,0,0,1,3,6,7,3,0,1,1,3,7,11,1,1,1,0,5,3,True,True
34,11,1,1,1,0,5,3,4,2,0,0,1,2,4,12,2,1,0,1,6,4,10,1,1,0,0,5,2,True,True
35,15,3,1,1,1,7,7,11,1,1,1,0,5,3,10,1,1,0,0,5,2,4,2,0,0,1,2,4,True,True
36,15,3,1,1,1,7,7,1,0,0,1,0,0,1,8,0,1,0,0,4,0,2,1,0,0,0,1,2,True,False
37,13,2,1,1,1,6,5,15,3,1,1,1,7,7,2,1,0,0,0,1,2,7,3,0,1,1,3,7,False,True
38,13,2,1,1,1,6,5,2,1,0,0,0,1,2,15,3,1,1,1,7,7,9,0,1,1,0,4,1,False,False
39,5,2,0,1,1,2,5,3,1,0,1,0,1,3,1,0,0,1,0,0,1,3,1,0,1,0,1,3,True,False
40,8,0,1,0,0,4,0,15,3,1,1,1,7,7,4,2,0,0,1,2,4,12,2,1,0,1,6,4,True,False
41,6,3,0,0,1,3,6,13,2,1,1,1,6,5,9,0,1,1,0,4,1,7,3,0,1,1,3,7,False,True
42,3,1,0,1,0,1,3,3,1,0,1,0,1,3,12,2,1,0,1,6,4,1,0,0,1,0,0,1,False,True
43,2,1,0,0,0,1,2,13,2,1,1,1,6,5,7,3,0,1,1,3,7,15,3,1,1,1,7,7,True,False
44,4,2,0,0,1,2,4,8,0,1,0,0,4,0,12,2,1,0,1,6,4,12,2,1,0,1,6,4,False,True
45,7,3,0,1,1,3,7,9,0,1,1,0,4,1,11,1,1,1,0,5,3,8,0,1,0,0,4,0,True,False
46,8,0,1,0,0,4,0,7,3,0,1,1,3,7,8,0,1,0,0,4,0,6,3,0,0,1,3,6,False,False
47,3,1,0,1,0,1,3,5,2,0,1,1,2,5,3,1,0,1,0,1,3,12,2,1,0,1,6,4,False,False
48,0,0,0,0,0,0,0,9,0,1,1,0,4,1,10,1,1,0,0,5,2,0,0,0,0,0,0,0,True,True
49,9,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,5,2,True,True
50,2,1,0,0,0,1,2,1,0,0,1,0,0,1,6,3,0,0,1,3,6,10,1,1,0,0,5,2,False,True
51,15,3,1,1,1,7,7,11,1,1,1,0,5,3,5,2,0,1,1,2,5,4,2,0,0,1,2,4,False,True
52,7,3,0,1,1,3,7,9,0,1,1,0,4,1,13,2,1,1,1,6,5,10,1,1,0,0,5,2,False,False
53,13,2,1,1,1,6,5,11,1,1,1,0,5,3,15,3,1,1,1,7,7,15,3,1,1,1,7,7,False,True
54,4,2,0,0,1,2,4,15,3,1,1,1,7,7,4,2,0,0,1,2,4,1,0,0,1,0,0,1,True,False
55,5,2,0,1,1,2,5,5,2,0,1,1,2,5,3,1,0,1,0,1,3,3,1,0,1,0,1,3,False,False
56,9,0,1,1,0,4,1,13,2,1,1,1,6,5,4,2,0,0,1,2,4,13,2,1,1,1,6,5,True,False
57,14,3,1,0,1,7,6,13,2,1,1,1,6,5,15,3,1,1,1,7,7,6,3,0,0,1,3,6,True,True
58,3,1,0,1,0,1,3,2,1,0,0,0,1,2,10,1,1,0,0,5,2,1,0,0,1,0,0,1,True,True
59,11,1,1,1,0,5,3,3,1,0,1,0,1,3,1,0,0,1,0,0,1,15,3,1,1,1,7,7,True,False
60,13,2,1,1,1,6,5,7,3,0,1,1,3,7,1,0,0,1,0,0,1,4,2,0,0,1,2,4,False,True
61,7,3,0,1,1,3,7,4,2,0,0,1,2,4,1,0,0,1,0,0,1,1,0,0,1,0,0,1,False,False
62,1,0,0,1,0,0,1,14,3,1,0,1,7,6,6,3,0,0,1,3,6,6,3,0,0,1,3,6,True,False
63,11,1,1,1,0,5,3,7,3,0,1,1,3,7,10,1,1,0,0,5,2,5,2,0,1,1,2,5,False,False
64,1,0,0,1,0,0,1,12,2,1,0,1,6,4,3,1,0,1,0,1,3,1,0,0,1,0,0,1,False,True
65,0,0,0,0,0,0,0,11,1,1,1,0,5,3,6,3,0,0,1,3,6,3,1,0,1,0,1,3,False,True
66,11,1,1,1,0,5,3,5,2,0,1,1,2,5,15,3,1,1,1,7,7,3,1,0,1,0,1,3,True,True
67,14,3,1,0,1,7,6,2,1,0,0,0,1,2,1,0,0,1,0,0,1,4,2,0,0,1,2,4,True,True
68,15,3,1,1,1,7,7,14,3,1,0,1,7,6,15,3,1,1,1,7,7,10,1,1,0,0,5,2,True,False
69,5,2,0,1,1,2,5,14,3,1,0,1,7,6,4,2,0,0,1,2,4,15,3,1,1,1,7,7,True,True
70,5,2,0,1,1,2,5,8,0,1,0,0,4,0,7,3,0,1,1,3,7,8,0,1,0,0,4,0,False,False
71,12,2,1,0,1,6,4,14,3,1,0,1,7,6,1,0,0,1,0,0,1,3,1,0,1,0,1,3,False,False
72,9,0,1,1,0,4,1,2,1,0,0,0,1,2,12,2,1,0,1,6,4,12,2,1,0,1,6,4,False,False
73,14,3,1,0,1,7,6,15,3,1,1,1,7,7,10,1,1,0,0,5,2,15,3,1,1,1,7,7,False,True
74,2,1,0,0,0,1,2,11,1,1,1,0,5,3,3,1,0,1,0,1,3,1,0,0,1,0,0,1,True,True
75,11,1,1,1,0,5,3,5,2,0,1,1,2,5,8,0,1,0,0,4,0,6,3,0,0,1,3,6,False,False
76,13,2,1,1,1,6,5,13,2,1,1,1,6,5,4,2,0,0,1,2,4,4,2,0,0,1,2,4,True,True
77,14,3,1,0,1,7,6,0,0,0,0,0,0,0,3,1,0,1,0,1,3,1,0,0,1,0,0,1,True,False
78,8,0,1,0,0,4,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,7,3,0,1,1,3,7,True,False
79,2,1,0,0,0,1,2,9,0,1,1,0,4,1,12,2,1,0,1,6,4,12,2,1,0,1,6,4,False,False
