,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
20,6,3,0,0,1,3,6,13,2,1,1,1,6,5,12,2,1,0,1,6,4,11,1,1,1,0,5,3,True,False
21,13,2,1,1,1,6,5,12,2,1,0,1,6,4,8,0,1,0,0,4,0,6,3,0,0,1,3,6,False,False
22,12,2,1,0,1,6,4,9,0,1,1,0,4,1,3,1,0,1,0,1,3,8,0,1,0,0,4,0,False,False
23,4,2,0,0,1,2,4,0,0,0,0,0,0,0,6,3,0,0,1,3,6,3,1,0,1,0,1,3,False,False
24,9,0,1,1,0,4,1,6,3,0,0,1,3,6,11,1,1,1,0,5,3,13,2,1,1,1,6,5,False,False
25,7,3,0,1,1,3,7,6,3,0,0,1,3,6,1,0,0,1,0,0,1,7,3,0,1,1,3,7,False,True
26,11,1,1,1,0,5,3,13,2,1,1,1,6,5,6,3,0,0,1,3,6,8,0,1,0,0,4,0,False,False
27,3,1,0,1,0,1,3,4,2,0,0,1,2,4,3,1,0,1,0,1,3,14,3,1,0,1,7,6,False,False
28,13,2,1,1,1,6,5,10,1,1,0,0,5,2,4,2,0,0,1,2,4,12,2,1,0,1,6,4,False,True
29,6,3,0,0,1,3,6,9,0,1,1,0,4,1,13,2,1,1,1,6,5,1,0,0,1,0,0,1,False,False
30,0,0,0,0,0,0,0,14,3,1,0,1,7,6,5,2,0,1,1,2,5,6,3,0,0,1,3,6,False,False
31,10,1,1,0,0,5,2,2,1,0,0,0,1,2,11,1,1,1,0,5,3,4,2,0,0,1,2,4,True,False
32,8,0,1,0,0,4,0,6,3,0,0,1,3,6,12,2,1,0,1,6,4,0,0,0,0,0,0,0,False,True
33,8,0,1,0,0,4,0,2,1,0,0,0,1,2,4,2,0,0,1,2,4,2,1,0,0,0,1,2,False,False
34,3,1,0,1,0,1,3,2,1,0,0,0,1,2,7,3,0,1,1,3,7,3,1,0,1,0,1,3,False,True
35,6,3,0,0,1,3,6,4,2,0,0,1,2,4,5,2,0,1,1,2,5,12,2,1,0,1,6,4,True,False
36,14,3,1,0,1,7,6,15,3,1,1,1,7,7,0,0,0,0,0,0,0,10,1,1,0,0,5,2,False,False
37,5,2,0,1,1,2,5,1,0,0,1,0,0,1,13,2,1,1,1,6,5,15,3,1,1,1,7,7,False,False
38,4,2,0,0,1,2,4,4,2,0,0,1,2,4,2,1,0,0,0,1,2,9,0,1,1,0,4,1,False,False
39,4,2,0,0,1,2,4,4,2,0,0,1,2,4,9,0,1,1,0,4,1,2,1,0,0,0,1,2,False,False
40,1,0,0,1,0,0,1,8,0,1,0,0,4,0,0,0,0,0,0,0,0,13,2,1,1,1,6,5,True,False
41,14,3,1,0,1,7,6,14,3,1,0,1,7,6,7,3,0,1,1,3,7,7,3,0,1,1,3,7,True,True
42,3,1,0,1,0,1,3,3,1,0,1,0,1,3,3,1,0,1,0,1,3,8,0,1,0,0,4,0,True,False
43,2,1,0,0,0,1,2,1,0,0,1,0,0,1,6,3,0,0,1,3,6,7,3,0,1,1,3,7,False,False
44,4,2,0,0,1,2,4,3,1,0,1,0,1,3,8,0,1,0,0,4,0,5,2,0,1,1,2,5,False,True
45,15,3,1,1,1,7,7,5,2,0,1,1,2,5,15,3,1,1,1,7,7,0,0,0,0,0,0,0,False,False
46,1,0,0,1,0,0,1,14,3,1,0,1,7,6,10,1,1,0,0,5,2,6,3,0,0,1,3,6,False,False
47,2,1,0,0,0,1,2,8,0,1,0,0,4,0,2,1,0,0,0,1,2,4,2,0,0,1,2,4,False,False
48,0,0,0,0,0,0,0,4,2,0,0,1,2,4,5,2,0,1,1,2,5,9,0,1,1,0,4,1,True,True
49,9,0,1,1,0,4,1,12,2,1,0,1,6,4,2,1,0,0,0,1,2,11,1,1,1,0,5,3,False,False
50,11,1,1,1,0,5,3,0,0,0,0,0,0,0,9,0,1,1,0,4,1,10,1,1,0,0,5,2,True,True
51,14,3,1,0,1,7,6,14,3,1,0,1,7,6,4,2,0,0,1,2,4,4,2,0,0,1,2,4,False,False
52,15,3,1,1,1,7,7,10,1,1,0,0,5,2,6,3,0,0,1,3,6,10,1,1,0,0,5,2,False,False
53,5,2,0,1,1,2,5,14,3,1,0,1,7,6,7,3,0,1,1,3,7,7,3,0,1,1,3,7,True,False
54,13,2,1,1,1,6,5,11,1,1,1,0,5,3,1,0,0,1,0,0,1,1,0,0,1,0,0,1,False,False
55,12,2,1,0,1,6,4,15,3,1,1,1,7,7,8,0,1,0,0,4,0,2,1,0,0,0,1,2,False,False
56,1,0,0,1,0,0,1,1,0,0,1,0,0,1,5,2,0,1,1,2,5,5,2,0,1,1,2,5,False,False
57,14,3,1,0,1,7,6,15,3,1,1,1,7,7,10,1,1,0,0,5,2,7,3,0,1,1,3,7,False,True
58,11,1,1,1,0,5,3,11,1,1,1,0,5,3,10,1,1,0,0,5,2,1,0,0,1,0,0,1,True,False
59,10,1,1,0,0,5,2,9,0,1,1,0,4,1,11,1,1,1,0,5,3,6,3,0,0,1,3,6,False,False
60,4,2,0,0,1,2,4,5,2,0,1,1,2,5,7,3,0,1,1,3,7,5,2,0,1,1,2,5,False,True
61,15,3,1,1,1,7,7,0,0,0,0,0,0,0,14,3,1,0,1,7,6,8,0,1,0,0,4,0,False,False
62,0,0,0,0,0,0,0,13,2,1,1,1,6,5,1,0,0,1,0,0,1,14,3,1,0,1,7,6,False,False
63,11,1,1,1,0,5,3,11,1,1,1,0,5,3,13,2,1,1,1,6,5,13,2,1,1,1,6,5,False,False
64,9,0,1,1,0,4,1,5,2,0,1,1,2,5,9,0,1,1,0,4,1,8,0,1,0,0,4,0,False,True
65,0,0,0,0,0,0,0,7,3,0,1,1,3,7,0,0,0,0,0,0,0,10,1,1,0,0,5,2,False,False
66,2,1,0,0,0,1,2,14,3,1,0,1,7,6,11,1,1,1,0,5,3,3,1,0,1,0,1,3,False,True
67,6,3,0,0,1,3,6,9,0,1,1,0,4,1,8,0,1,0,0,4,0,12,2,1,0,1,6,4,True,False
68,14,3,1,0,1,7,6,3,1,0,1,0,1,3,13,2,1,1,1,6,5,11,1,1,1,0,5,3,False,False
69,5,2,0,1,1,2,5,10,1,1,0,0,5,2,14,3,1,0,1,7,6,6,3,0,0,1,3,6,False,False
70,5,2,0,1,1,2,5,15,3,1,1,1,7,7,6,3,0,0,1,3,6,9,0,1,1,0,4,1,True,False
71,12,2,1,0,1,6,4,0,0,0,0,0,0,0,10,1,1,0,0,5,2,10,1,1,0,0,5,2,False,False
72,1,0,0,1,0,0,1,12,2,1,0,1,6,4,10,1,1,0,0,5,2,4,2,0,0,1,2,4,False,False
73,15,3,1,1,1,7,7,5,2,0,1,1,2,5,6,3,0,0,1,3,6,6,3,0,0,1,3,6,False,True
74,10,1,1,0,0,5,2,10,1,1,0,0,5,2,1,0,0,1,0,0,1,1,0,0,1,0,0,1,False,False
75,10,1,1,0,0,5,2,2,1,0,0,0,1,2,3,1,0,1,0,1,3,14,3,1,0,1,7,6,True,False
76,12,2,1,0,1,6,4,6,3,0,0,1,3,6,12,2,1,0,1,6,4,4,2,0,0,1,2,4,False,True
77,7,3,0,1,1,3,7,1,0,0,1,0,0,1,4,2,0,0,1,2,4,0,0,0,0,0,0,0,False,False
78,8,0,1,0,0,4,0,8,0,1,0,0,4,0,7,3,0,1,1,3,7,7,3,0,1,1,3,7,False,False
79,3,1,0,1,0,1,3,12,2,1,0,1,6,4,4,2,0,0,1,2,4,13,2,1,1,1,6,5,True,False
