Groupe	category	title	path	silence_duration	total_duration	onset
F	Orchestral	Stairway_To_Heaven_silenced.wav	data/mutemusic/stimuli/Orchestral/Stairway_To_Heaven_silenced.wav	13	52.0	
U	Lyrics	Rain_silenced.wav	data/mutemusic/stimuli/Lyrics/Rain_silenced.wav	12	48.0	
U	Lyrics	Good_Morning_silenced.wav	data/mutemusic/stimuli/Lyrics/Good_Morning_silenced.wav	14	58.0	
U	Synthetic	Sid_Meiers_Civilization_SNES_OST_06_City_Menu_silenced.wav	data/mutemusic/stimuli/Synthetic/Sid_Meiers_Civilization_SNES_OST_06_City_Menu_silenced.wav	15	60.0	
F	Lyrics	Never_Gonna_Give_You_Up_silenced.wav	data/mutemusic/stimuli/Lyrics/Never_Gonna_Give_You_Up_silenced.wav	12	50.0	
U	Orchestral	The_Moldau_silenced.wav	data/mutemusic/stimuli/Orchestral/The_Moldau_silenced.wav	14	54.0	
F	Orchestral	Gnossienne_No1_silenced.wav	data/mutemusic/stimuli/Orchestral/Gnossienne_No1_silenced.wav	16	63.0	
F	Synthetic	Celeste_Original_Soundtrack_03_Resurrections_silenced.wav	data/mutemusic/stimuli/Synthetic/Celeste_Original_Soundtrack_03_Resurrections_silenced.wav	12	50.0	
U	Lyrics	Make_Em_Laugh_silenced.wav	data/mutemusic/stimuli/Lyrics/Make_Em_Laugh_silenced.wav	16	65.0	
F	Synthetic	Super_Mario_Bros_3_Airship_silenced.wav	data/mutemusic/stimuli/Synthetic/Super_Mario_Bros_3_Airship_silenced.wav	15	60.0	
