Groupe	category	title	path	silence_duration	total_duration	onset
U	Orchestral	Star_Trek_the_Next_Generation_(Main_Title)_silenced.wav	data/mutemusic/stimuli/Orchestral/Star_Trek_the_Next_Generation_(Main_Title)_silenced.wav	14	56.0	
F	Synthetic	Super_Mario_Bros_(NES)_Music_Overworld_Theme_silenced.wav	data/mutemusic/stimuli/Synthetic/Super_Mario_Bros_(NES)_Music_Overworld_Theme_silenced.wav	15	59.0	
F	Lyrics	Everybody_Wants_To_Rule_The_World_silenced.wav	data/mutemusic/stimuli/Lyrics/Everybody_Wants_To_Rule_The_World_silenced.wav	14	58.0	
U	Orchestral	Main_Title_Terminator_2_Theme_(Remastered_2017)_silenced.wav	data/mutemusic/stimuli/Orchestral/Main_Title_Terminator_2_Theme_(Remastered_2017)_silenced.wav	14	54.0	
U	Lyrics	Synchronicity_silenced.wav	data/mutemusic/stimuli/Lyrics/Synchronicity_silenced.wav	12	47.0	
F	Orchestral	Kikis_Delivery_Service_silenced.wav	data/mutemusic/stimuli/Orchestral/Kikis_Delivery_Service_silenced.wav	12	48.0	
F	Synthetic	Shinobi_3_Return_Of_The_Ninja_Master_OST_Japonesque_(level_1_1)_silenced.wav	data/mutemusic/stimuli/Synthetic/Shinobi_3_Return_Of_The_Ninja_Master_OST_Japonesque_(level_1_1)_silenced.wav	11	44.0	
U	Orchestral	The_Office_(Main_Theme)_silenced.wav	data/mutemusic/stimuli/Orchestral/The_Office_(Main_Theme)_silenced.wav	16	62.0	
U	Lyrics	Murder_by_Numbers_silenced.wav	data/mutemusic/stimuli/Lyrics/Murder_by_Numbers_silenced.wav	15	60.0	
F	Lyrics	Its_Raining_Men_silenced.wav	data/mutemusic/stimuli/Lyrics/Its_Raining_Men_silenced.wav	16	62.0	
