Groupe	category	title	path	silence_duration	total_duration	onset
U	Synthetic	Mortal_Kombat_(Sega_Genesis)_Opening_Theme_silenced.wav	data/mutemusic/stimuli/Synthetic/Mortal_Kombat_(Sega_Genesis)_Opening_Theme_silenced.wav	12	48.0	
F	Synthetic	Super_Mario_Bros_(NES)_Music_Underground_Theme_silenced.wav	data/mutemusic/stimuli/Synthetic/Super_Mario_Bros_(NES)_Music_Underground_Theme_silenced.wav	12	49.0	
U	Synthetic	Sonic_The_Hedgehog_OST_Green_Hill_Zone_silenced.wav	data/mutemusic/stimuli/Synthetic/Sonic_The_Hedgehog_OST_Green_Hill_Zone_silenced.wav	13	52.0	
U	Orchestral	Dreaming_of_Bag_End_silenced.wav	data/mutemusic/stimuli/Orchestral/Dreaming_of_Bag_End_silenced.wav	13	52.0	
F	Lyrics	I_ll_Be_There_for_You_silenced.wav	data/mutemusic/stimuli/Lyrics/I_ll_Be_There_for_You_silenced.wav	12	47.0	
F	Synthetic	Super_Mario_Bros_3_Overworld_1_Theme_silenced.wav	data/mutemusic/stimuli/Synthetic/Super_Mario_Bros_3_Overworld_1_Theme_silenced.wav	14	54.0	
F	Orchestral	The_Imperial_March_(Darth_Vaders_Theme)_silenced.wav	data/mutemusic/stimuli/Orchestral/The_Imperial_March_(Darth_Vaders_Theme)_silenced.wav	12	48.0	
U	Lyrics	Cant_Live_With_You_Cant_Live_Without_You_silenced.wav	data/mutemusic/stimuli/Lyrics/Cant_Live_With_You_Cant_Live_Without_You_silenced.wav	15	60.0	
U	Lyrics	I_m_Loving_Every_Moment_With_You_silenced.wav	data/mutemusic/stimuli/Lyrics/I_m_Loving_Every_Moment_With_You_silenced.wav	13	53.0	
F	Lyrics	Another_Brick_In_The_Wall_(Part_1)_lyrics_silenced.wav	data/mutemusic/stimuli/Lyrics/Another_Brick_In_The_Wall_(Part_1)_lyrics_silenced.wav	15	60.0	
