	cluster	avg_dist	std_dist	sum_dist	condition	duration	onset	run	type	image_path	category_nr	exemplar_nr	things_category_nr	things_image_nr	things_exemplar_nr	category_name
172	10.0	0.643200797565429	0.20335598909669228	8.361610368350577	shown	2.98	160.92	3	fmri	images_fmri/roof_rack/roof_rack_01b.jpg	532	1	1330.0	18914.0	1.0	roof_rack
173	1.0	0.5648559051679906	0.13802625946136982	7.343126767183877	shown	2.98	165.39	3	fmri	images_fmri/walnut/walnut_01b.jpg	692	1	1779.0	25077.0	1.0	walnut
174	2.0	0.6237828543581344	0.12332715570624951	44.28858265942754	shown	2.98	169.85999999999999	3	fmri	images_fmri/raccoon/raccoon_01b.jpg	506	1	1267.0	18051.0	1.0	raccoon
175	29.0	0.5695359489820752	0.10052317331230631	7.403967336766978	shown	2.98	174.32999999999998	3	fmri	images_fmri/eggbeater/eggbeater_01b.jpg	228	1	549.0	7962.0	1.0	eggbeater
176	42.0	0.480010030711561	0.15434645679298586	6.240130399250293	shown	2.98	178.79999999999998	3	fmri	images_fmri/ping-pong_table/ping-pong_table_01b.jpg	470	1	1185.0	16853.0	1.0	ping-pong_table
177	17.0	0.4338394617871112	0.11474229816498069	5.639913003232445	shown	2.98	183.26999999999998	3	fmri	images_fmri/boxing_gloves/boxing_gloves_01b.jpg	77	1	184.0	2784.0	1.0	boxing_gloves
178	39.0	0.4959723742142579	0.12774745589114408	6.4476408647853525	shown	2.98	187.73999999999998	3	fmri	images_fmri/backpack/backpack_01b.jpg	24	1	50.0	709.0	1.0	backpack
179	24.0	0.649739683158987	0.08105360852676549	8.446615881066831	shown	2.98	192.20999999999998	3	fmri	images_fmri/pigeon/pigeon_01b.jpg	466	1	1172.0	16673.0	1.0	pigeon
180	38.0	0.7344292330101947	0.07526721183029501	9.547580029132531	shown	2.98	196.67999999999998	3	fmri	images_fmri/eggplant/eggplant_01b.jpg	229	1	551.0	7991.0	1.0	eggplant
181	34.0	0.5516482037520298	0.08776172329005645	7.171426648776388	shown	2.98	201.14999999999998	3	fmri	images_fmri/grate/grate_01b.jpg	286	1	708.0	10154.0	1.0	grate
182	33.0	0.5308412188580179	0.09512629883959972	6.900935845154233	shown	2.98	205.61999999999998	3	fmri	images_fmri/lantern/lantern_01b.jpg	354	1	896.0	12823.0	1.0	lantern
183	45.0	0.7131264008059066	0.11687315997068685	9.270643210476786	shown	2.98	210.08999999999997	3	fmri	images_fmri/grits/grits_01s.jpg	290	1	718.0	10287.0	1.0	grits
184	3.0	0.4505247234704554	0.30320112911032326	5.85682140511592	shown	2.98	214.56	3	fmri	images_fmri/jersey/jersey_01b.jpg	336	1	847.0	12106.0	1.0	jersey
185	32.0	0.5602130770181388	0.13142957772508843	7.282770001235805	shown	2.98	219.03	3	fmri	images_fmri/pinwheel/pinwheel_01b.jpg	471	1	1186.0	16866.0	1.0	pinwheel
186	8.0	0.4919646540536586	0.17006420278906692	6.395540502697561	shown	2.98	223.5	3	fmri	images_fmri/knot/knot_01b.jpg	348	1	884.0	12654.0	1.0	knot
187	4.0	0.48388825290482235	0.13586423701643627	6.29054728776269	shown	2.98	227.97	3	fmri	images_fmri/syringe/syringe_01b.jpg	620	1	1605.0	22670.0	1.0	syringe
