	cluster	avg_dist	std_dist	sum_dist	condition	duration	pause	onset	run	type	image_path	category_nr	exemplar_nr	things_category_nr	things_image_nr	things_exemplar_nr	category_name
90	7	0.5485139372558769	0.09264699656292802	6.033653309814646	shown	2.98	1.4899999999999998	101.32	2	fmri	images_fmri/plate/plate_01b.jpg	475	1	1198.0	17025.0	1.0	plate
91	17	0.5845633886534004	0.1178447233255047	6.430197275187405	shown	2.98	1.4899999999999998	105.78999999999999	2	fmri	images_fmri/football_helmet/football_helmet_01b.jpg	256	1	631.0	9100.0	1.0	football_helmet
92	9	0.6276220267224316	0.13369036188824995	6.903842293946748	shown	2.98	1.4899999999999998	110.26	2	fmri	images_fmri/candy_bar/candy_bar_01b.jpg	113	1	257.0	3782.0	1.0	candy_bar
93	8	0.5642040779249818	0.1475381485488463	6.2062448571748	shown	2.98	1.4899999999999998	114.73	2	fmri	images_fmri/corn/corn_01s.jpg	172	1	413.0	5927.0	1.0	corn
94	49	0.7306496823421018	0.09694426432082495	8.03714650576312	shown	2.98	1.4899999999999998	119.2	2	fmri	images_fmri/cucumber/cucumber_01b.jpg	190	1	458.0	6622.0	1.0	cucumber
95	19	0.4767731614359371	0.11661081372084416	5.244504775795308	shown	2.98	1.4899999999999998	123.67	2	fmri	images_fmri/tongue/tongue_01s.jpg	652	1	1676.0	23654.0	1.0	tongue
96	11	0.5709371135495588	0.12991760651489886	6.280308249045146	shown	2.98	1.4899999999999998	128.14	2	fmri	images_fmri/boat/boat_01b.jpg	68	1	155.0	2365.0	1.0	boat
97	50	0.5153690627694094	0.11708751353706258	5.669059690463503	shown	2.98	1.4899999999999998	132.60999999999999	2	fmri	images_fmri/ferret/ferret_01b.jpg	241	1	579.0	8372.0	1.0	ferret
98	45	0.6309525829682946	0.06245632980804909	6.940478412651241	shown	2.98	1.4899999999999998	137.07999999999998	2	fmri	images_fmri/platypus/platypus_01b.jpg	476	1	1199.0	17038.0	1.0	platypus
99	7	0.6860828072385712	0.09588129385811706	48.71187931393855	shown	2.98	1.4899999999999998	141.54999999999998	2	fmri	images_fmri/granola/granola_01b.jpg	282	1	702.0	10051.0	1.0	granola
100	4	0.5433266510102833	0.1987955165816948	5.976593161113116	shown	2.98	1.4899999999999998	146.01999999999998	2	fmri	images_fmri/limousine/limousine_01s.jpg	368	1	932.0	13305.0	1.0	limousine
101	29	0.3884939946114528	0.12309500507102189	4.2734339407259805	shown	2.98	1.4899999999999998	150.48999999999998	2	fmri	images_fmri/face/face_01b.jpg	237	1	570.0	8244.0	1.0	face
102	41	0.6765274824958786	0.16779013163506248	7.441802307454664	shown	2.98	1.4899999999999998	154.95999999999998	2	fmri	images_fmri/dolphin/dolphin_01b.jpg	209	1	503.0	7261.0	1.0	dolphin
103	44	0.6588802242953691	0.0631730504432516	7.24768246724906	shown	2.98	1.4899999999999998	159.42999999999998	2	fmri	images_fmri/weasel/weasel_01b.jpg	700	1	1798.0	25325.0	1.0	weasel
104	16	0.5183282838373944	0.12025359716301527	5.701611122211339	shown	2.98	1.4899999999999998	163.89999999999998	2	fmri	images_fmri/trap/trap_01b.jpg	662	1	1703.0	24019.0	1.0	trap
