	cluster	avg_dist	std_dist	sum_dist	condition	duration	pause	onset	run	type	image_path	category_nr	exemplar_nr	things_category_nr	things_image_nr	things_exemplar_nr	category_name
0	11	0.5351844326931663	0.18684409274795102	5.88702875962483	shown	2.98	1.4899999999999998	2.98	1	fmri	images_fmri/calculator/calculator_01b.jpg	105	1	241.0	3571.0	1.0	calculator
1	53	0.5546616413429613	0.1646448825165807	6.101278054772574	shown	2.98	1.4899999999999998	7.449999999999999	1	fmri	images_fmri/grape/grape_01b.jpg	283	1	703.0	10068.0	1.0	grape
2	1	0.4018666457964375	0.13358639140932924	4.420533103760812	shown	2.98	1.4899999999999998	11.92	1	fmri	images_fmri/railing/railing_01b.jpg	511	1	1278.0	18197.0	1.0	railing
3	37	0.7730547412152112	0.12740912705489704	8.503602153367323	shown	2.98	1.4899999999999998	16.39	1	fmri	images_fmri/artichoke/artichoke_01b.jpg	18	1	40.0	553.0	1.0	artichoke
4	17	0.48759723001486327	0.16784847210163295	5.363569530163496	shown	2.98	1.4899999999999998	20.86	1	fmri	images_fmri/lock/lock_01b.jpg	375	1	941.0	13430.0	1.0	lock
5	5	0.5605416085351339	0.14142863205329329	39.79845420599451	shown	2.98	1.4899999999999998	25.33	1	fmri	images_fmri/rug/rug_01b.jpg	533	1	1341.0	19068.0	1.0	rug
6	4	0.23087200550185835	0.09416442456115402	2.539592060520442	shown	2.98	1.4899999999999998	29.8	1	fmri	images_fmri/poster/poster_01s.jpg	490	1	1230.0	17490.0	1.0	poster
7	49	0.5692656528416528	0.21412118083778178	6.26192218125818	shown	2.98	1.4899999999999998	34.269999999999996	1	fmri	images_fmri/candelabra/candelabra_01b.jpg	110	1	253.0	3726.0	1.0	candelabra
8	28	0.5061888959802446	0.10787283543547882	5.568077855782691	shown	2.98	1.4899999999999998	38.739999999999995	1	fmri	images_fmri/washboard/washboard_01b.jpg	696	1	1783.0	25131.0	1.0	washboard
9	3	0.6028006588632892	0.21728140148874028	6.630807247496181	shown	2.98	1.4899999999999998	43.209999999999994	1	fmri	images_fmri/roof_rack/roof_rack_01b.jpg	532	1	1330.0	18914.0	1.0	roof_rack
10	12	0.43373959379551547	0.1110230827784381	4.77113553175067	shown	2.98	1.4899999999999998	47.67999999999999	1	fmri	images_fmri/thermostat/thermostat_01b.jpg	639	1	1649.0	23282.0	1.0	thermostat
11	6	0.6189248608172119	0.23052556090177181	6.80817346898933	shown	2.98	1.4899999999999998	52.14999999999999	1	fmri	images_fmri/drum/drum_01b.jpg	220	1	523.0	7588.0	1.0	drum
12	34	0.6888425108646691	0.1757027866521177	7.5772676195113595	shown	2.98	1.4899999999999998	56.62	1	fmri	images_fmri/deer/deer_01b.jpg	197	1	477.0	6897.0	1.0	deer
13	31	0.439947966618463	0.13094392784538642	4.839427632803093	shown	2.98	1.4899999999999998	61.089999999999996	1	fmri	images_fmri/carousel/carousel_01b.jpg	120	1	276.0	4047.0	1.0	carousel
14	30	0.5683499127474714	0.17985549971054662	6.251849040222186	shown	2.98	1.4899999999999998	65.56	1	fmri	images_fmri/racket/racket_01b.jpg	507	1	1271.0	18103.0	1.0	racket
15	26	0.5156262573779786	0.17378958552173535	5.671888831157765	shown	2.98	1.4899999999999998	70.03	1	fmri	images_fmri/boat/boat_01b.jpg	68	1	155.0	2365.0	1.0	boat
16	4	0.5758814828376426	0.1294933594927729	40.887585281472624	shown	2.98	1.4899999999999998	74.5	1	fmri	images_fmri/screwdriver/screwdriver_01s.jpg	547	1	1392.0	19755.0	1.0	screwdriver
17	29	0.41772502120347765	0.11349149807390015	4.594975233238254	shown	2.98	1.4899999999999998	78.97	1	fmri	images_fmri/net/net_01b.jpg	423	1	1058.0	15054.0	1.0	net
18	32	0.5490341383399918	0.2335552733822319	6.0393755217399105	shown	2.98	1.4899999999999998	83.44	1	fmri	images_fmri/prism/prism_01b.jpg	497	1	1242.0	17662.0	1.0	prism
19	8	0.48382185111303566	0.07385764022501601	5.322040362243392	shown	2.98	1.4899999999999998	87.91	1	fmri	images_fmri/tree_trunk/tree_trunk_01b.jpg	667	1	1710.0	24114.0	1.0	tree_trunk
20	46	0.551707269158748	0.19371850108491884	6.0687799607462285	shown	2.98	1.4899999999999998	92.38	1	fmri	images_fmri/toilet_paper/toilet_paper_01b.jpg	649	1	1672.0	23594.0	1.0	toilet_paper
21	33	0.45039763936455013	0.17597878427628608	4.954374033010051	shown	2.98	1.4899999999999998	96.85	1	fmri	images_fmri/sweatsuit/sweatsuit_01s.jpg	618	1	1594.0	22519.0	1.0	sweatsuit
22	7	0.6077915576428053	0.14402444294250497	6.685707134070858	shown	2.98	1.4899999999999998	101.32	1	fmri	images_fmri/pumpkin/pumpkin_01b.jpg	501	1	1254.0	17853.0	1.0	pumpkin
23	2	0.4529681906356744	0.14518145927703632	4.982650096992418	shown	2.98	1.4899999999999998	105.78999999999999	1	fmri	images_fmri/mask/mask_01b.jpg	390	1	981.0	13977.0	1.0	mask
24	23	0.5383566741620817	0.14224089498111459	5.921923415782898	shown	2.98	1.4899999999999998	110.26	1	fmri	images_fmri/lip_balm/lip_balm_01b.jpg	371	1	935.0	13357.0	1.0	lip_balm
25	42	0.6095188518266028	0.1568347923693549	6.704707370092631	shown	2.98	1.4899999999999998	114.73	1	fmri	images_fmri/alligator/alligator_01b.jpg	5	1	13.0	178.0	1.0	alligator
26	24	0.36038158489346883	0.1369428967060287	3.9641974338281574	shown	2.98	1.4899999999999998	119.2	1	fmri	images_fmri/doormat/doormat_01b.jpg	212	1	512.0	7415.0	1.0	doormat
27	3	0.5878390442771181	0.16265642795532825	41.73657214367538	shown	2.98	1.4899999999999998	123.67	1	fmri	images_fmri/walker1/walker1_01b.jpg	688	1	1774.0	25007.0	1.0	walker1
28	19	0.5415851687693473	0.13933199405374902	5.95743685646282	shown	2.98	1.4899999999999998	128.14	1	fmri	images_fmri/horse/horse_01b.jpg	319	1	799.0	11421.0	1.0	horse
29	27	0.6609341676336246	0.18712221652426714	7.27027584396987	shown	2.98	1.4899999999999998	132.60999999999999	1	fmri	images_fmri/nacho/nacho_01b.jpg	417	1	1046.0	14892.0	1.0	nacho
30	41	0.5245839957722374	0.05842051171291779	5.7704239534946105	shown	2.98	1.4899999999999998	137.07999999999998	1	fmri	images_fmri/pliers/pliers_01s.jpg	478	1	1202.0	17077.0	1.0	pliers
31	15	0.6361839882457775	0.1304296837494172	6.998023870703553	shown	2.98	1.4899999999999998	141.54999999999998	1	fmri	images_fmri/omelet/omelet_01b.jpg	431	1	1077.0	15308.0	1.0	omelet
32	48	0.5542340753771366	0.10521618203146452	6.096574829148503	shown	2.98	1.4899999999999998	146.01999999999998	1	fmri	images_fmri/t-shirt/t-shirt_01b.jpg	622	1	1607.0	22696.0	1.0	t-shirt
33	22	0.616300469374848	0.13363621859237226	6.779305163123327	shown	2.98	1.4899999999999998	150.48999999999998	1	fmri	images_fmri/sock/sock_01b.jpg	579	1	1490.0	21088.0	1.0	sock
34	35	0.5845597670896115	0.1388394578648249	6.430157437985727	shown	2.98	1.4899999999999998	154.95999999999998	1	fmri	images_fmri/rhubarb/rhubarb_01b.jpg	522	1	1308.0	18618.0	1.0	rhubarb
35	51	0.6460691881870632	0.13448595225398788	7.106761070057694	shown	2.98	1.4899999999999998	159.42999999999998	1	fmri	images_fmri/beet/beet_01b.jpg	47	1	115.0	1751.0	1.0	beet
36	14	0.4358721202993069	0.12602568184214832	4.794593323292376	shown	2.98	1.4899999999999998	163.89999999999998	1	fmri	images_fmri/hedge/hedge_01b.jpg	310	1	774.0	11071.0	1.0	hedge
37	9	0.6500573893359541	0.1237592687257077	7.150631282695496	shown	2.98	1.4899999999999998	168.36999999999998	1	fmri	images_fmri/fondue/fondue_01s.jpg	255	1	627.0	9045.0	1.0	fondue
38	6	0.568179933654498	0.13907939156208182	40.34077528946936	shown	2.98	1.4899999999999998	172.83999999999997	1	fmri	images_fmri/grasshopper/grasshopper_01b.jpg	285	1	707.0	10134.0	1.0	grasshopper
39	0	0.5731752879042447	0.19198069647987231	5.731752879042447	shown	2.98	1.4899999999999998	177.30999999999997	1	fmri	images_fmri/limousine/limousine_01s.jpg	368	1	932.0	13305.0	1.0	limousine
40	16	0.5677315502758162	0.18225391113339842	6.245047053033979	shown	2.98	1.4899999999999998	181.77999999999997	1	fmri	images_fmri/pocketknife/pocketknife_01b.jpg	481	1	1208.0	17163.0	1.0	pocketknife
41	40	0.6074388582784892	0.17533190350026817	6.681827441063381	shown	2.98	1.4899999999999998	186.24999999999997	1	fmri	images_fmri/pillow/pillow_01b.jpg	468	1	1177.0	16741.0	1.0	pillow
42	54	0.632800495854556	0.1591291271455908	6.960805454400115	shown	2.98	1.4899999999999998	190.71999999999997	1	fmri	images_fmri/bee/bee_01b.jpg	45	1	112.0	1695.0	1.0	bee
43	44	0.44249078021674787	0.15528586241130837	4.867398582384227	shown	2.98	1.4899999999999998	195.18999999999997	1	fmri	images_fmri/pocket/pocket_01b.jpg	480	1	1206.0	17131.0	1.0	pocket
44	52	0.591480023177466	0.11484691443292444	6.5062802549521255	shown	2.98	1.4899999999999998	199.65999999999997	1	fmri	images_fmri/barnacle/barnacle_01s.jpg	34	1	76.0	1124.0	1.0	barnacle
45	38	0.4995404891489656	0.09513915921360226	5.4949453806386215	shown	2.98	1.4899999999999998	204.12999999999997	1	fmri	images_fmri/garbage/garbage_01b.jpg	264	1	656.0	9419.0	1.0	garbage
46	43	0.6952687447781218	0.17584352738267311	7.64795619255934	shown	2.98	1.4899999999999998	208.59999999999997	1	fmri	images_fmri/cucumber/cucumber_01b.jpg	190	1	458.0	6622.0	1.0	cucumber
