,stim1,loc1,objmod1,stim2,loc2,objmod2,stim3,loc3,objmod3,preaction,action
0,0,0,0,0,0,0,7,1,7,True,False
1,0,0,0,1,0,5,3,0,7,True,False
2,0,0,0,2,0,2,2,0,6,True,True
3,0,0,0,3,0,3,7,1,7,True,True
4,0,0,0,4,1,0,6,1,2,True,False
5,0,0,4,5,1,1,4,1,0,True,True
6,0,0,4,6,1,2,1,0,1,True,False
7,0,0,0,7,1,3,5,1,1,True,False
8,1,0,5,0,0,0,6,1,6,True,False
9,1,0,5,1,0,5,2,0,2,True,False
10,1,0,1,2,0,6,1,0,1,True,False
11,1,0,1,3,0,7,4,1,0,True,False
12,1,0,1,4,1,0,2,0,6,True,False
13,1,0,5,5,1,1,7,1,7,True,False
14,1,0,1,6,1,6,3,0,3,True,True
15,1,0,1,7,1,3,1,0,5,True,False
16,2,0,6,0,0,4,4,1,4,True,True
17,2,0,2,1,0,5,0,0,0,True,True
18,2,0,2,2,0,6,5,1,1,True,False
19,2,0,2,3,0,7,3,0,3,True,True
20,2,0,2,4,1,0,6,1,2,True,False
21,2,0,6,5,1,1,1,0,5,True,True
22,2,0,2,6,1,2,1,0,1,True,False
23,2,0,2,7,1,3,3,0,3,True,True
24,3,0,7,0,0,0,0,0,4,True,True
25,3,0,3,1,0,5,2,0,2,True,False
26,3,0,3,2,0,2,2,0,2,True,True
27,3,0,3,3,0,7,0,0,4,True,False
28,3,0,7,4,1,0,3,0,3,True,False
29,3,0,7,5,1,1,1,0,5,True,True
30,3,0,7,6,1,6,0,0,4,True,False
31,3,0,3,7,1,7,2,0,2,True,True
32,4,1,4,0,0,4,5,1,5,True,True
33,4,1,0,1,0,5,0,0,0,True,True
34,4,1,0,2,0,2,6,1,2,True,True
35,4,1,4,3,0,7,3,0,7,True,True
36,4,1,0,4,1,0,7,1,7,True,False
37,4,1,0,5,1,5,2,0,6,True,False
38,4,1,0,6,1,6,2,0,6,True,True
39,4,1,4,7,1,3,3,0,7,True,True
40,5,1,5,0,0,4,3,0,3,True,False
41,5,1,5,1,0,5,7,1,7,True,False
42,5,1,1,2,0,2,6,1,6,True,True
43,5,1,5,3,0,3,1,0,1,True,False
44,5,1,1,4,1,0,0,0,4,True,True
45,5,1,1,5,1,1,7,1,3,True,False
46,5,1,5,6,1,2,6,1,2,True,True
47,5,1,1,7,1,3,5,1,5,True,False
48,6,1,2,0,0,4,6,1,6,True,False
49,6,1,6,1,0,1,3,0,7,True,False
50,6,1,6,2,0,6,5,1,1,True,False
51,6,1,6,3,0,7,1,0,1,True,False
52,6,1,2,4,1,4,1,0,5,True,True
53,6,1,6,5,1,5,3,0,7,True,False
54,6,1,6,6,1,6,1,0,5,True,False
55,6,1,2,7,1,7,5,1,1,True,False
56,7,1,7,0,0,0,2,0,2,True,False
57,7,1,3,1,0,1,1,0,5,True,True
58,7,1,7,2,0,6,4,1,4,True,False
59,7,1,7,3,0,7,1,0,1,True,False
60,7,1,3,4,1,4,5,1,5,True,True
61,7,1,7,5,1,5,3,0,3,True,False
62,7,1,7,6,1,6,5,1,1,True,False
63,7,1,7,7,1,3,5,1,1,True,False
