,frame_obj_1,frame_loc_1,frame_action_1,frame_obj_2,frame_loc_2,frame_action_2,frame_obj_3,frame_loc_3,frame_action_3,frame_obj_4,frame_loc_4,frame_action_4
0,140,1,9,140,1,True,140,1,9,140,1,True
1,140,1,9,140,1,True,140,1,9,140,2,False
2,140,1,9,140,1,True,140,2,9,140,1,False
3,140,1,9,140,1,True,140,2,9,140,2,True
4,140,1,9,140,1,True,140,1,9,973,1,True
5,140,1,9,140,1,True,140,1,9,973,2,False
6,140,1,9,140,1,True,140,2,9,973,1,False
7,140,1,9,140,1,True,140,2,9,973,2,True
8,140,1,9,140,1,True,140,1,9,974,1,True
9,140,1,9,140,1,True,140,1,9,974,2,False
10,140,1,9,140,1,True,140,2,9,974,1,False
11,140,1,9,140,1,True,140,2,9,974,2,True
12,140,1,9,140,1,True,140,1,9,975,1,True
13,140,1,9,140,1,True,140,1,9,975,2,False
14,140,1,9,140,1,True,140,2,9,975,1,False
15,140,1,9,140,1,True,140,2,9,975,2,True
16,140,1,9,140,1,True,973,1,9,140,1,True
17,140,1,9,140,1,True,973,1,9,140,2,False
18,140,1,9,140,1,True,973,2,9,140,1,False
19,140,1,9,140,1,True,973,2,9,140,2,True
20,140,1,9,140,1,True,973,1,9,973,1,True
21,140,1,9,140,1,True,973,1,9,973,2,False
22,140,1,9,140,1,True,973,2,9,973,1,False
23,140,1,9,140,1,True,973,2,9,973,2,True
24,140,1,9,140,1,True,973,1,9,974,1,True
25,140,1,9,140,1,True,973,1,9,974,2,False
26,140,1,9,140,1,True,973,2,9,974,1,False
27,140,1,9,140,1,True,973,2,9,974,2,True
28,140,1,9,140,1,True,973,1,9,975,1,True
29,140,1,9,140,1,True,973,1,9,975,2,False
30,140,1,9,140,1,True,973,2,9,975,1,False
31,140,1,9,140,1,True,973,2,9,975,2,True
32,140,1,9,140,1,True,974,1,9,140,1,True
33,140,1,9,140,1,True,974,1,9,140,2,False
34,140,1,9,140,1,True,974,2,9,140,1,False
35,140,1,9,140,1,True,974,2,9,140,2,True
36,140,1,9,140,1,True,974,1,9,973,1,True
37,140,1,9,140,1,True,974,1,9,973,2,False
38,140,1,9,140,1,True,974,2,9,973,1,False
39,140,1,9,140,1,True,974,2,9,973,2,True
40,140,1,9,140,1,True,974,1,9,974,1,True
41,140,1,9,140,1,True,974,1,9,974,2,False
42,140,1,9,140,1,True,974,2,9,974,1,False
43,140,1,9,140,1,True,974,2,9,974,2,True
44,140,1,9,140,1,True,974,1,9,975,1,True
