,frame_obj_1,frame_loc_1,frame_action_1,frame_obj_2,frame_loc_2,frame_action_2,frame_obj_3,frame_loc_3,frame_action_3,frame_obj_4,frame_loc_4,frame_action_4
0,140,1,9,140,1,9,140,1,True,140,1,True
1,140,1,9,140,1,9,140,2,False,140,1,True
2,140,1,9,140,2,9,140,1,False,140,1,True
3,140,1,9,140,2,9,140,2,True,140,1,True
4,140,1,9,140,1,9,973,1,True,140,1,True
5,140,1,9,140,1,9,973,2,False,140,1,True
6,140,1,9,140,2,9,973,1,False,140,1,True
7,140,1,9,140,2,9,973,2,True,140,1,True
8,140,1,9,140,1,9,974,1,True,140,1,True
9,140,1,9,140,1,9,974,2,False,140,1,True
10,140,1,9,140,2,9,974,1,False,140,1,True
11,140,1,9,140,2,9,974,2,True,140,1,True
12,140,1,9,140,1,9,975,1,True,140,1,True
13,140,1,9,140,1,9,975,2,False,140,1,True
14,140,1,9,140,2,9,975,1,False,140,1,True
15,140,1,9,140,2,9,975,2,True,140,1,True
16,140,1,9,973,1,9,140,1,True,140,1,True
17,140,1,9,973,1,9,140,2,False,140,1,True
18,140,1,9,973,2,9,140,1,False,140,1,True
19,140,1,9,973,2,9,140,2,True,140,1,True
20,140,1,9,973,1,9,973,1,True,140,1,True
21,140,1,9,973,1,9,973,2,False,140,1,True
22,140,1,9,973,2,9,973,1,False,140,1,True
23,140,1,9,973,2,9,973,2,True,140,1,True
24,140,1,9,973,1,9,974,1,True,140,1,True
25,140,1,9,973,1,9,974,2,False,140,1,True
26,140,1,9,973,2,9,974,1,False,140,1,True
27,140,1,9,973,2,9,974,2,True,140,1,True
28,140,1,9,973,1,9,975,1,True,140,1,True
29,140,1,9,973,1,9,975,2,False,140,1,True
30,140,1,9,973,2,9,975,1,False,140,1,True
31,140,1,9,973,2,9,975,2,True,140,1,True
32,140,1,9,974,1,9,140,1,True,140,1,True
33,140,1,9,974,1,9,140,2,False,140,1,True
34,140,1,9,974,2,9,140,1,False,140,1,True
35,140,1,9,974,2,9,140,2,True,140,1,True
36,140,1,9,974,1,9,973,1,True,140,1,True
37,140,1,9,974,1,9,973,2,False,140,1,True
38,140,1,9,974,2,9,973,1,False,140,1,True
39,140,1,9,974,2,9,973,2,True,140,1,True
40,140,1,9,974,1,9,974,1,True,140,1,True
41,140,1,9,974,1,9,974,2,False,140,1,True
42,140,1,9,974,2,9,974,1,False,140,1,True
43,140,1,9,974,2,9,974,2,True,140,1,True
44,140,1,9,974,1,9,975,1,True,140,1,True
45,140,1,9,974,1,9,975,2,False,140,1,True
46,140,1,9,974,2,9,975,1,False,140,1,True
47,140,1,9,974,2,9,975,2,True,140,1,True
48,140,1,9,975,1,9,140,1,True,140,1,True
49,140,1,9,975,1,9,140,2,False,140,1,True
50,140,1,9,975,2,9,140,1,False,140,1,True
51,140,1,9,975,2,9,140,2,True,140,1,True
52,140,1,9,975,1,9,973,1,True,140,1,True
53,140,1,9,975,1,9,973,2,False,140,1,True
54,140,1,9,975,2,9,973,1,False,140,1,True
55,140,1,9,975,2,9,973,2,True,140,1,True
56,140,1,9,975,1,9,974,1,True,140,1,True
57,140,1,9,975,1,9,974,2,False,140,1,True
58,140,1,9,975,2,9,974,1,False,140,1,True
59,140,1,9,975,2,9,974,2,True,140,1,True
60,140,1,9,975,1,9,975,1,True,140,1,True
61,140,1,9,975,1,9,975,2,False,140,1,True
62,140,1,9,975,2,9,975,1,False,140,1,True
63,140,1,9,975,2,9,975,2,True,140,1,True
64,140,1,9,140,1,9,140,2,False,140,2,False
65,140,1,9,140,2,9,140,1,False,140,2,False
66,140,1,9,140,2,9,140,2,True,140,2,False
67,140,1,9,140,1,9,973,1,True,140,2,False
68,140,1,9,140,1,9,973,2,False,140,2,False
69,140,1,9,140,2,9,973,1,False,140,2,False
70,140,1,9,140,2,9,973,2,True,140,2,False
71,140,1,9,140,1,9,974,1,True,140,2,False
72,140,1,9,140,1,9,974,2,False,140,2,False
73,140,1,9,140,2,9,974,1,False,140,2,False
74,140,1,9,140,2,9,974,2,True,140,2,False
75,140,1,9,140,1,9,975,1,True,140,2,False
76,140,1,9,140,1,9,975,2,False,140,2,False
77,140,1,9,140,2,9,975,1,False,140,2,False
78,140,1,9,140,2,9,975,2,True,140,2,False
79,140,1,9,973,1,9,140,1,True,140,2,False
80,140,1,9,973,1,9,140,2,False,140,2,False
81,140,1,9,973,2,9,140,1,False,140,2,False
82,140,1,9,973,2,9,140,2,True,140,2,False
83,140,1,9,973,1,9,973,1,True,140,2,False
84,140,1,9,973,1,9,973,2,False,140,2,False
85,140,1,9,973,2,9,973,1,False,140,2,False
86,140,1,9,973,2,9,973,2,True,140,2,False
87,140,1,9,973,1,9,974,1,True,140,2,False
88,140,1,9,973,1,9,974,2,False,140,2,False
89,140,1,9,973,2,9,974,1,False,140,2,False
90,140,1,9,973,2,9,974,2,True,140,2,False
91,140,1,9,973,1,9,975,1,True,140,2,False
92,140,1,9,973,1,9,975,2,False,140,2,False
93,140,1,9,973,2,9,975,1,False,140,2,False
94,140,1,9,973,2,9,975,2,True,140,2,False
95,140,1,9,974,1,9,140,1,True,140,2,False
96,140,1,9,974,1,9,140,2,False,140,2,False
97,140,1,9,974,2,9,140,1,False,140,2,False
98,140,1,9,974,2,9,140,2,True,140,2,False
99,140,1,9,974,1,9,973,1,True,140,2,False
100,140,1,9,974,1,9,973,2,False,140,2,False
101,140,1,9,974,2,9,973,1,False,140,2,False
102,140,1,9,974,2,9,973,2,True,140,2,False
103,140,1,9,974,1,9,974,1,True,140,2,False
104,140,1,9,974,1,9,974,2,False,140,2,False
105,140,1,9,974,2,9,974,1,False,140,2,False
106,140,1,9,974,2,9,974,2,True,140,2,False
107,140,1,9,974,1,9,975,1,True,140,2,False
108,140,1,9,974,1,9,975,2,False,140,2,False
109,140,1,9,974,2,9,975,1,False,140,2,False
110,140,1,9,974,2,9,975,2,True,140,2,False
