,stim_a,stim_b,loc_a,loc_b,action
0,140,140,0,0,True
1,140,973,0,0,False
2,140,974,0,0,False
3,140,975,0,0,False
4,973,140,0,0,False
5,973,973,0,0,True
6,973,974,0,0,True
7,973,975,0,0,True
8,974,140,0,0,False
9,974,973,0,0,True
10,974,974,0,0,True
11,974,975,0,0,True
12,975,140,0,0,False
13,975,973,0,0,True
14,975,974,0,0,True
15,975,975,0,0,True
