,frame_obj_1,frame_loc_1,frame_action_1,frame_obj_2,frame_loc_2,frame_action_2,frame_obj_3,frame_loc_3,frame_action_3,frame_obj_4,frame_loc_4,frame_action_4
75,973,0,9,974,0,9,974,0,True,973,0,True
76,973,0,9,974,0,9,975,0,True,973,0,True
77,973,0,9,975,0,9,140,0,False,973,0,True
78,973,0,9,975,0,9,973,0,True,973,0,True
79,973,0,9,975,0,9,974,0,True,973,0,True
80,973,0,9,975,0,9,975,0,True,973,0,True
81,973,0,9,973,0,9,974,0,True,974,0,True
82,973,0,9,973,0,9,975,0,True,974,0,True
83,973,0,9,974,0,9,140,0,False,974,0,True
84,973,0,9,974,0,9,973,0,True,974,0,True
85,973,0,9,974,0,9,974,0,True,974,0,True
86,973,0,9,974,0,9,975,0,True,974,0,True
87,973,0,9,975,0,9,140,0,False,974,0,True
88,973,0,9,975,0,9,973,0,True,974,0,True
89,973,0,9,975,0,9,974,0,True,974,0,True
90,973,0,9,975,0,9,975,0,True,974,0,True
91,973,0,9,973,0,9,975,0,True,975,0,True
92,973,0,9,974,0,9,140,0,False,975,0,True
93,973,0,9,974,0,9,973,0,True,975,0,True
94,973,0,9,974,0,9,974,0,True,975,0,True
95,973,0,9,974,0,9,975,0,True,975,0,True
96,973,0,9,975,0,9,140,0,False,975,0,True
97,973,0,9,975,0,9,973,0,True,975,0,True
98,973,0,9,975,0,9,974,0,True,975,0,True
99,973,0,9,975,0,9,975,0,True,975,0,True
100,974,0,9,974,0,9,140,0,False,140,0,False
101,974,0,9,974,0,9,973,0,True,140,0,False
102,974,0,9,974,0,9,974,0,True,140,0,False
103,974,0,9,974,0,9,975,0,True,140,0,False
104,974,0,9,975,0,9,140,0,False,140,0,False
105,974,0,9,975,0,9,973,0,True,140,0,False
106,974,0,9,975,0,9,974,0,True,140,0,False
107,974,0,9,975,0,9,975,0,True,140,0,False
108,974,0,9,974,0,9,973,0,True,973,0,True
109,974,0,9,974,0,9,974,0,True,973,0,True
110,974,0,9,974,0,9,975,0,True,973,0,True
111,974,0,9,975,0,9,140,0,False,973,0,True
