,stim1,loc1,objmod1,stim2,loc2,objmod2,stim3,loc3,objmod3,stim4,loc4,objmod4,action1,action2
7,0,0,4,7,1,7,5,1,5,3,0,7,True,True
38,4,1,4,6,1,2,6,1,6,5,1,5,False,False
32,4,1,4,0,0,4,5,1,5,5,1,5,True,True
11,1,0,1,3,0,3,7,1,7,7,1,3,False,True
