,stim1,loc1,objmod1,stim2,loc2,objmod2,stim3,loc3,objmod3,preaction,action
17,2,0,2,1,0,1,0,0,0,True,True
51,6,1,2,3,0,3,6,1,6,False,True
47,5,1,5,7,1,7,6,1,2,True,True
9,1,0,5,1,0,5,2,0,6,True,False
14,1,0,5,6,1,2,0,0,4,False,False
40,5,1,5,0,0,0,0,0,0,False,True
