,stim1,loc1,objmod1,stim2,loc2,action2,objmod2,stim3,loc3,action3,objmod3,stim4,loc4,action4,objmod4,stim5,loc5,action5,objmod5,stim6,loc6,action6,objmod6
5,6,1,6,2,0,True,6,5,1,False,5,1,0,True,5,5,1,True,1,3,0,False,3
13,4,1,0,6,1,False,2,2,0,True,2,5,1,False,1,7,1,False,3,6,1,False,6
6,0,0,0,1,0,False,1,2,0,False,2,7,1,False,7,0,0,False,4,7,1,False,7
2,4,1,0,3,0,False,7,3,0,True,7,5,1,False,5,3,0,False,7,2,0,False,2
