word	format	onset	duration
+		0.0	14.0
+		14.0	0.1
QUEY		14.1	0.45
ONK		14.55	0.45
PIMNING		15.0	0.45
STROSH		15.45	0.45
CHESTURE		15.9	0.45
OD		16.35	0.45
FREIR		16.8	0.45
POLYLL		17.25	0.45
DENIMPMENTS		17.7	0.45
RO		18.15	0.45
TEEP		18.6	0.45
URPER		19.05	0.45
:		19.5	0.5
+		20.0	0.1
SANANAR		20.1	0.45
HOGURT		20.55	0.45
HULFSROY		21.0	0.45
OS		21.45	0.45
ODMIEITLY		21.9	0.45
O		22.35	0.45
LAN		22.8	0.45
PITH		23.25	0.45
O		23.7	0.45
ROUL		24.15	0.45
OSE		24.6	0.45
HEALT		25.05	0.45
:		25.5	0.5
+		26.0	0.1
E		26.1	0.45
FILLAWED		26.55	0.45
FREM		27.0	0.45
EN		27.45	0.45
REE		27.9	0.45
JOUP		28.35	0.45
OSE		28.8	0.45
NOY		29.25	0.45
QUEY		29.7	0.45
DOD		30.15	0.45
VOT		30.6	0.45
CANK		31.05	0.45
:		31.5	0.5
+		32.0	0.1
SOME		32.1	0.45
OF		32.55	0.45
THE		33.0	0.45
ISLAND		33.45	0.45
IS		33.9	0.45
SAND		34.35	0.45
AND		34.8	0.45
IS		35.25	0.45
NOT		35.7	0.45
SUITABLE		36.15	0.45
FOR		36.6	0.45
LIVING		37.05	0.45
:		37.5	0.5
+		38.0	0.1
KNOWLEDGE		38.1	0.45
GAINED		38.55	0.45
FROM		39.0	0.45
STUDYING		39.45	0.45
EARTHQUAKE		39.9	0.45
WAVES		40.35	0.45
HAS		40.8	0.45
BEEN		41.25	0.45
APPLIED		41.7	0.45
IN		42.15	0.45
VARIOUS		42.6	0.45
FIELDS		43.05	0.45
:		43.5	0.5
+		44.0	0.1
I		44.1	0.45
THINK		44.55	0.45
YOU		45.0	0.45
ARE		45.45	0.45
BEING		45.9	0.45
UNFAIR		46.35	0.45
TO		46.8	0.45
TAKE		47.25	0.45
THESE		47.7	0.45
THINGS		48.15	0.45
UP		48.6	0.45
NOW		49.05	0.45
:		49.5	0.5
+		50.0	0.1
THE		50.1	0.45
IMPORTANCE		50.55	0.45
OF		51.0	0.45
PARTICLE		51.45	0.45
SIZE		51.9	0.45
IN		52.35	0.45
SUCH		52.8	0.45
AEROSOLS		53.25	0.45
HAS		53.7	0.45
BEEN		54.15	0.45
THOROUGHLY		54.6	0.45
DEMONSTRATED		55.05	0.45
:		55.5	0.5
+		56.0	0.1
HE		56.1	0.45
CONSIDERED		56.55	0.45
OPENING		57.0	0.45
A		57.45	0.45
CAN		57.9	0.45
OF		58.35	0.45
BEER		58.8	0.45
BUT		59.25	0.45
VETOED		59.7	0.45
THAT		60.15	0.45
IDEA		60.6	0.45
TOO		61.05	0.45
:		61.5	0.5
+		62.0	0.1
NONE		62.1	0.45
OF		62.55	0.45
US		63.0	0.45
WAS		63.45	0.45
AWARE		63.9	0.45
THAT		64.35	0.45
THE		64.8	0.45
BIGGEST		65.25	0.45
FIGHT		65.7	0.45
WAS		66.15	0.45
STILL		66.6	0.45
AHEAD		67.05	0.45
:		67.5	0.5
+		68.0	0.1
SOMEMEMES		68.1	0.45
E		68.55	0.45
GUNESCO		69.0	0.45
OT		69.45	0.45
WAM		69.9	0.45
BEBAVES		70.35	0.45
REE		70.8	0.45
TAIN		71.25	0.45
SQUARS		71.7	0.45
HUD		72.15	0.45
CHAMMED		72.6	0.45
DICONTION		73.05	0.45
:		73.5	0.5
+		74.0	0.1
PLIN		74.1	0.45
MOPEGAAL		74.55	0.45
STUOCIGNES		75.0	0.45
URMER		75.45	0.45
USTRAPIOMUM		75.9	0.45
LIFFS		76.35	0.45
WHISS		76.8	0.45
BOMINITATES		77.25	0.45
OTS		77.7	0.45
MIMPLING		78.15	0.45
OSE		78.6	0.45
ASCISHMENT		79.05	0.45
:		79.5	0.5
+		80.0	0.1
HU		80.1	0.45
OS		80.55	0.45
BELLER		81.0	0.45
TOTTED		81.45	0.45
RO		81.9	0.45
PERFAID		82.35	0.45
HUS		82.8	0.45
SOVEAL		83.25	0.45
LIRR		83.7	0.45
OBUNG		84.15	0.45
HUS		84.6	0.45
FULLORN		85.05	0.45
:		85.5	0.5
+		86.0	14.0
+		100.0	0.1
I		100.1	0.45
