word	format	onset	duration
+		0.0	14.0
+		14.0	0.1
TODAY		14.1	0.45
WHOLE		14.55	0.45
GRAINS		15.0	0.45
ARE		15.45	0.45
FRESHLY		15.9	0.45
GROUND		16.35	0.45
EVERY		16.8	0.45
DAY		17.25	0.45
AND		17.7	0.45
BAKED		18.15	0.45
INTO		18.6	0.45
BREAD		19.05	0.45
:		19.5	0.5
+		20.0	0.1
THE		20.1	0.45
RIGHT		20.55	0.45
TO		21.0	0.45
LEAVE		21.45	0.45
LEGACIES		21.9	0.45
SHOULD		22.35	0.45
BE		22.8	0.45
SUBSTANTIALLY		23.25	0.45
REDUCED		23.7	0.45
AND		24.15	0.45
ULTIMATELY		24.6	0.45
ELIMINATED		25.05	0.45
:		25.5	0.5
+		26.0	0.1
DEANS		26.1	0.45
CAN		26.55	0.45
FORM		27.0	0.45
AN		27.45	0.45
IMPORTANT		27.9	0.45
BRIDGE		28.35	0.45
BETWEEN		28.8	0.45
THE		29.25	0.45
PRESIDENT		29.7	0.45
AND		30.15	0.45
THE		30.6	0.45
FACULTY		31.05	0.45
:		31.5	0.5
+		32.0	0.1
MARTER		32.1	0.45
WEPDEGS		32.55	0.45
OSE		33.0	0.45
HUS		33.45	0.45
CLIDE		33.9	0.45
WIST		34.35	0.45
LIMS		34.8	0.45
EN		35.25	0.45
HUS		35.7	0.45
LALE		36.15	0.45
FATEST		36.6	0.45
HOULE		37.05	0.45
:		37.5	0.5
+		38.0	0.1
FLIUR		38.1	0.45
RO		38.55	0.45
FROT		39.0	0.45
HU		39.45	0.45
WAM		39.9	0.45
ENGEFIATED		40.35	0.45
PITH		40.8	0.45
LONK		41.25	0.45
ESBONT		41.7	0.45
OLEJURSITY		42.15	0.45
EN		42.6	0.45
BREEKDON		43.05	0.45
:		43.5	0.5
+		44.0	0.1
REE		44.1	0.45
ORQUINTRA		44.55	0.45
WAM		45.0	0.45
ODMIEITLY		45.45	0.45
OD		45.9	0.45
OTS		46.35	0.45
MUSTLE		46.8	0.45
OSE		47.25	0.45
OT		47.7	0.45
PLOWLS		48.15	0.45
MOGS		48.6	0.45
RETLENNINGLY		49.05	0.45
:		49.5	0.5
+		50.0	0.1
REE		50.1	0.45
SOVEAL		50.55	0.45
OSE		51.0	0.45
CRYCROCETICAL		51.45	0.45
CONSOPRASSES		51.9	0.45
OY		52.35	0.45
PLIN		52.8	0.45
CONTITOG		53.25	0.45
RO		53.7	0.45
AFFAKE		54.15	0.45
REE		54.6	0.45
ETOA		55.05	0.45
:		55.5	0.5
+		56.0	0.1
LUT		56.1	0.45
O		56.55	0.45
SOTHPROT		57.0	0.45
HORE		57.45	0.45
DETINCTS		57.9	0.45
AMILYVOS		58.35	0.45
OY		58.8	0.45
PLIN		59.25	0.45
STORESS		59.7	0.45
MAK		60.15	0.45
NE		60.6	0.45
ITTACILATING		61.05	0.45
:		61.5	0.5
+		62.0	0.1
LUT		62.1	0.45
E		62.55	0.45
UMLY		63.0	0.45
PROUGHT		63.45	0.45
OY		63.9	0.45
FROT		64.35	0.45
EN		64.8	0.45
REE		65.25	0.45
MIGGLE		65.7	0.45
OY		66.15	0.45
REE		66.6	0.45
NIFFS		67.05	0.45
:		67.5	0.5
+		68.0	0.1
WHAT		68.1	0.45
MATTERED		68.55	0.45
WAS		69.0	0.45
THAT		69.45	0.45
A		69.9	0.45
NEW		70.35	0.45
CONCEPT		70.8	0.45
OF		71.25	0.45
AMERICANS		71.7	0.45
WAS		72.15	0.45
BEING		72.6	0.45
BORN		73.05	0.45
:		73.5	0.5
+		74.0	0.1
CURT		74.1	0.45
WAS		74.55	0.45
TOO		75.0	0.45
INVOLVED		75.45	0.45
IN		75.9	0.45
HIS		76.35	0.45
OWN		76.8	0.45
PROBLEMS		77.25	0.45
TO		77.7	0.45
PAY		78.15	0.45
MUCH		78.6	0.45
ATTENTION		79.05	0.45
:		79.5	0.5
+		80.0	0.1
ORANGES		80.1	0.45
AND		80.55	0.45
GRAPEFRUIT		81.0	0.45
ARE		81.45	0.45
SHIPPED		81.9	0.45
FROM		82.35	0.45
FLORIDA		82.8	0.45
WEEKLY		83.25	0.45
FROM		83.7	0.45
AN		84.15	0.45
ORGANIC		84.6	0.45
FARM		85.05	0.45
:		85.5	0.5
+		86.0	14.0
