word	format	onset	duration
RENICKER		136.55	0.45
GEDDED		137.0	0.45
AR		137.45	0.45
HU		137.9	0.45
MOFFS		138.35	0.45
UD		138.8	0.45
BEBILL		139.25	0.45
HOM		139.7	0.45
ET		140.15	0.45
REE		140.6	0.45
BOM		141.05	0.45
:		141.5	0.5
+		142.0	0.1
EN		142.1	0.45
REE		142.55	0.45
STONLISKS		143.0	0.45
HU		143.45	0.45
COURN		143.9	0.45
MEE		144.35	0.45
REE		144.8	0.45
PREES		145.25	0.45
STRICKED		145.7	0.45
OY		146.15	0.45
FREIR		146.6	0.45
LEORED		147.05	0.45
:		147.5	0.5
+		148.0	0.1
REE		148.1	0.45
TONBET		148.55	0.45
CHOCE		149.0	0.45
DROCKLY		149.45	0.45
OSE		149.9	0.45
BRUICLY		150.35	0.45
TULLS		150.8	0.45
HOO		151.25	0.45
WHISS		151.7	0.45
OPRITIDES		152.15	0.45
FE		152.6	0.45
QUAT		153.05	0.45
:		153.5	0.5
+		154.0	0.1
IT		154.1	0.45
WOULD		154.55	0.45
HAVE		155.0	0.45
BEEN		155.45	0.45
EASY		155.9	0.45
TO		156.35	0.45
IDENTIFY		156.8	0.45
AS		157.25	0.45
OPIUM		157.7	0.45
BY		158.15	0.45
ITS		158.6	0.45
ODOR		159.05	0.45
:		159.5	0.5
+		160.0	0.1
HE		160.1	0.45
ALSO		160.55	0.45
REMINDED		161.0	0.45
HIMSELF		161.45	0.45
THAT		161.9	0.45
HE		162.35	0.45
HAD		162.8	0.45
AN		163.25	0.45
UNUSUAL		163.7	0.45
NUMBER		164.15	0.45
OF		164.6	0.45
POSSIBILITIES		165.05	0.45
:		165.5	0.5
+		166.0	0.1
HIS		166.1	0.45
SMALL		166.55	0.45
BLACK		167.0	0.45
EYES		167.45	0.45
DARTED		167.9	0.45
INSIDE		168.35	0.45
THE		168.8	0.45
OLIVE		169.25	0.45
OVAL		169.7	0.45
OF		170.15	0.45
HIS		170.6	0.45
FACE		171.05	0.45
:		171.5	0.5
+		172.0	14.0
+		186.0	0.1
HE		186.1	0.45
TURNED		186.55	0.45
AND		187.0	0.45
RACED		187.45	0.45
ACROSS		187.9	0.45
THE		188.35	0.45
PARADE		188.8	0.45
GROUND		189.25	0.45
TOWARD		189.7	0.45
THE		190.15	0.45
ROCK		190.6	0.45
HOUSE		191.05	0.45
:		191.5	0.5
+		192.0	0.1
SUSAN		192.1	0.45
AND		192.55	0.45
JULIA		193.0	0.45
CAME		193.45	0.45
FROM		193.9	0.45
THE		194.35	0.45
DOOR		194.8	0.45
AND		195.25	0.45
DRAGGED		195.7	0.45
HIM		196.15	0.45
WITH		196.6	0.45
THEM		197.05	0.45
:		197.5	0.5
+		198.0	0.1
I		198.1	0.45
SPUN		198.55	0.45
ABOUT		199.0	0.45
AND		199.45	0.45
CLATTERED		199.9	0.45
THROUGH		200.35	0.45
THE		200.8	0.45
FRONT		201.25	0.45
ROOM		201.7	0.45
TO		202.15	0.45
THE		202.6	0.45
DOOR		203.05	0.45
:		203.5	0.5
+		204.0	0.1
NUDER		204.1	0.45
OGICS		204.55	0.45
DOD		205.0	0.45
HU		205.45	0.45
URTER		205.9	0.45
INNI		206.35	0.45
REE		206.8	0.45
SODUOL		207.25	0.45
OY		207.7	0.45
SHIMING		208.15	0.45
REE		208.6	0.45
ONIMPMENT		209.05	0.45
:		209.5	0.5
+		210.0	0.1
THUN		210.1	0.45
ANMOCICA		210.55	0.45
RURNED		211.0	0.45
OSE		211.45	0.45
PITH		211.9	0.45
OP		212.35	0.45
OOMY		212.8	0.45
GRORT		213.25	0.45
WORVED		213.7	0.45
LOWOND		214.15	0.45
REE		214.6	0.45
LENCHEN		215.05	0.45
:		215.5	0.5
+		216.0	0.1
PORY		216.1	0.45
TIVES		216.55	0.45
SIRKS		217.0	0.45
HUS		217.45	0.45
WEOTH		217.9	0.45
FROT		218.35	0.45
SILORY		218.8	0.45
HUD		219.25	0.45
GURRIED		219.7	0.45
OSE		220.15	0.45
TROOMLED		220.6	0.45
NIR		221.05	0.45
:		221.5	0.5
+		222.0	0.1
THE		222.1	0.45
CLOUDS		222.55	0.45
BULGED		223.0	0.45
DOWNWARD		223.45	0.45
AND		223.9	0.45
BURST		224.35	0.45
SUDDENLY		224.8	0.45
INTO		225.25	0.45
A		225.7	0.45
GREAT		226.15	0.45
BLACK		226.6	0.45
FUNNEL		227.05	0.45
:		227.5	0.5
+		228.0	0.1
THIS		228.1	0.45
WILL		228.55	0.45
HELP		229.0	0.45
HIM		229.45	0.45
TO		229.9	0.45
GET		230.35	0.45
OUT		230.8	0.45
OF		231.25	0.45
HIS		231.7	0.45
LITTLE		232.15	0.45
TACKLE		232.6	0.45
SHOP		233.05	0.45
:		233.5	0.5
+		234.0	0.1
DOWN		234.1	0.45
THE		234.55	0.45
TREE		235.0	0.45
HE		235.45	0.45
SCRAMBLED		235.9	0.45
AND		236.35	0.45
KNELT		236.8	0.45
AT		237.25	0.45
THE		237.7	0.45
EDGE		238.15	0.45
OF		238.6	0.45
FOLIAGE		239.05	0.45
:		239.5	0.5
+		240.0	0.1
KUYTO		240.1	0.45
OS		240.55	0.45
REE		241.0	0.45
ONCEINE		241.45	0.45
COTITOT		241.9	0.45
OY		242.35	0.45
JOBON		242.8	0.45
OSE		243.25	0.45
STULL		243.7	0.45
OTS		244.15	0.45
CEDDUROL		244.6	0.45
CISTRE		245.05	0.45
:		245.5	0.5
+		246.0	0.1
OT		246.1	0.45
OS		246.55	0.45
VODY		247.0	0.45
MUME		247.45	0.45
O		247.9	0.45
MOLLER		248.35	0.45
OY		248.8	0.45
BOACHING		249.25	0.45
REE		249.7	0.45
FEELLOTIONS		250.15	0.45
OY		250.6	0.45
CORCORITY		251.05	0.45
:		251.5	0.5
+		252.0	0.1
REE		252.1	0.45
ILEDES		252.55	0.45
CAG		253.0	0.45
OOTIPY		253.45	0.45
NE		253.9	0.45
OLYEURS		254.35	0.45
PITH		254.8	0.45
O		255.25	0.45
HISK		255.7	0.45
DETRIE		256.15	0.45
OY		256.6	0.45
IMMOROCY		257.05	0.45
:		257.5	0.5
+		258.0	14.0
+		272.0	0.1
PLIN		272.1	0.45
HOMMENED		272.55	0.45
EN		273.0	0.45
REE		273.45	0.45
MIGGLE		273.9	0.45
OY		274.35	0.45
O		274.8	0.45
DRULLING		275.25	0.45
BUIT		275.7	0.45
PITH		276.15	0.45
OLUPSER		276.6	0.45
BUR		277.05	0.45
:		277.5	0.5
+		278.0	0.1
WINSHAN		278.1	0.45
TEEK		278.55	0.45
REE		279.0	0.45
CLORNEDBRUNK		279.45	0.45
OOT		279.9	0.45
OY		280.35	0.45
REE		280.8	0.45
PLUSET		281.25	0.45
OSE		281.7	0.45
WEWS		282.15	0.45
RO		282.6	0.45
WOFT		283.05	0.45
:		283.5	0.5
+		284.0	0.1
REE		284.1	0.45
LOUF		284.55	0.45
DROCKS		285.0	0.45
ONK		285.45	0.45
EN		285.9	0.45
WRO		286.35	0.45
TOGERS		286.8	0.45
OSE		287.25	0.45
ONK		287.7	0.45
VOT		288.15	0.45
RURTORED		288.6	0.45
LOGELLER		289.05	0.45
:		289.5	0.5
+		290.0	0.1
HIS		290.1	0.45
YEARS		290.55	0.45
OF		291.0	0.45
CAMPAIGNING		291.45	0.45
HAD		291.9	0.45
TAUGHT		292.35	0.45
HIM		292.8	0.45
THE		293.25	0.45
VALUE		293.7	0.45
OF		294.15	0.45
WATER		294.6	0.45
DISCIPLINE		295.05	0.45
:		295.5	0.5
+		296.0	0.1
HE		296.1	0.45
REMINDED		296.55	0.45
MATSUO		297.0	0.45
OF		297.45	0.45
A		297.9	0.45
SIMILAR		298.35	0.45
THING		298.8	0.45
HE		299.25	0.45
HAD		299.7	0.45
WITNESSED		300.15	0.45
IN		300.6	0.45
CHINA		301.05	0.45
:		301.5	0.5
+		302.0	0.1
IN		302.1	0.45
THE		302.55	0.45
CENTER		303.0	0.45
OF		303.45	0.45
HIS		303.9	0.45
BRILLIANT		304.35	0.45
CURLS		304.8	0.45
SAT		305.25	0.45
A		305.7	0.45
SMALL		306.15	0.45
BLACK		306.6	0.45
SKULLCAP		307.05	0.45
:		307.5	0.5
+		308.0	0.1
HE		308.1	0.45
HAD		308.55	0.45
SHUT		309.0	0.45
HIS		309.45	0.45
DOOR		309.9	0.45
WITH		310.35	0.45
THE		310.8	0.45
BRASS		311.25	0.45
NUMBER		311.7	0.45
SCREWED		312.15	0.45
TO		312.6	0.45
IT		313.05	0.45
:		313.5	0.5
+		314.0	0.1
I		314.1	0.45
FIGURED		314.55	0.45
I		315.0	0.45
COULD		315.45	0.45
STAND		315.9	0.45
PRACTICALLY		316.35	0.45
ANYTHING		316.8	0.45
FOR		317.25	0.45
A		317.7	0.45
COUPLE		318.15	0.45
OF		318.6	0.45
WEEKS		319.05	0.45
:		319.5	0.5
+		320.0	0.1
DAVE		320.1	0.45
SHRUGGED		320.55	0.45
ON		321.0	0.45
HIS		321.45	0.45
SPORTS		321.9	0.45
COAT		322.35	0.45
AND		322.8	0.45
PICKED		323.25	0.45
UP		323.7	0.45
THE		324.15	0.45
CAR		324.6	0.45
KEYS		325.05	0.45
:		325.5	0.5
+		326.0	0.1
E		326.1	0.45
WAM		326.55	0.45
HERN		327.0	0.45
UD		327.45	0.45
O		327.9	0.45
BIP		328.35	0.45
FLUING		328.8	0.45
RO		329.25	0.45
MAMP		329.7	0.45
O		330.15	0.45
LELD		330.6	0.45
RURN		331.05	0.45
:		331.5	0.5
+		332.0	0.1
HU		332.1	0.45
SHOLLED		332.55	0.45
REE		333.0	0.45
STOGS		333.45	0.45
URNER		333.9	0.45
OSE		334.35	0.45
LOGELLER		334.8	0.45
QUEY		335.25	0.45
WEWS		335.7	0.45
INNI		336.15	0.45
REE		336.6	0.45
STOREBOOM		337.05	0.45
:		337.5	0.5
+		338.0	0.1
AULER		338.1	0.45
FROT		338.55	0.45
HU		339.0	0.45
WAM		339.45	0.45
NUDER		339.9	0.45
WROWN		340.35	0.45
RO		340.8	0.45
MUN		341.25	0.45
OM		341.7	0.45
ENON		342.15	0.45
WASK		342.6	0.45
FARS		343.05	0.45
:		343.5	0.5
+		344.0	14.0
