word	format	onset	duration
+		0.0	0.5
part		0.5	0.5
of		1.0	0.5
the		1.5	0.5
family		2.0	0.5
should		2.5	0.5
be		3.0	0.5
sleeping		3.5	0.5
while		4.0	0.5
the		4.5	0.5
rest		5.0	0.5
is		5.5	0.5
awake		6.0	0.5
s		6.5	0.5
+		7.0	0.5
it		7.5	0.5
made		8.0	0.5
no		8.5	0.5
difference		9.0	0.5
that		9.5	0.5
most		10.0	0.5
evidence		10.5	0.5
points		11.0	0.5
to		11.5	0.5
an		12.0	0.5
opposite		12.5	0.5
conclusion		13.0	0.5
s		13.5	0.5
+		14.0	0.5
shipments		14.5	0.5
of		15.0	0.5
arms		15.5	0.5
from		16.0	0.5
western		16.5	0.5
countries		17.0	0.5
could		17.5	0.5
similarly		18.0	0.5
be		18.5	0.5
seized		19.0	0.5
as		19.5	0.5
contraband		20.0	0.5
s		20.5	0.5
+		21.0	0.5
hu		21.5	0.5
onvinted		22.0	0.5
o		22.5	0.5
stolt		23.0	0.5
oy		23.5	0.5
tocol		24.0	0.5
esderts		24.5	0.5
ose		25.0	0.5
oy		25.5	0.5
pory		26.0	0.5
zoosous		26.5	0.5
gemunteers		27.0	0.5
n		27.5	0.5
+		28.0	0.5
hu		28.5	0.5
bexes		29.0	0.5
hus		29.5	0.5
oppreyes		30.0	0.5
od		30.5	0.5
ree		31.0	0.5
beroof		31.5	0.5
frot		32.0	0.5
otubling		32.5	0.5
cag		33.0	0.5
lillow		33.5	0.5
otubling		34.0	0.5
n		34.5	0.5
+		35.0	0.5
en		35.5	0.5
plin		36.0	0.5
scoy		36.5	0.5
trore		37.0	0.5
dere		37.5	0.5
su		38.0	0.5
pory		38.5	0.5
storectest		39.0	0.5
ose		39.5	0.5
su		40.0	0.5
mume		40.5	0.5
detive		41.0	0.5
n		41.5	0.5
+		42.0	0.5
drutty		42.5	0.5
octoiled		43.0	0.5
ree		43.5	0.5
pevision		44.0	0.5
pith		44.5	0.5
indetberests		45.0	0.5
ose		45.5	0.5
dod		46.0	0.5
vot		46.5	0.5
urter		47.0	0.5
ree		47.5	0.5
oncumence		48.0	0.5
n		48.5	0.5
+		49.0	0.5
plin		49.5	0.5
procefose		50.0	0.5
os		50.5	0.5
mume		51.0	0.5
hore		51.5	0.5
eggoctive		52.0	0.5
fron		52.5	0.5
goving		53.0	0.5
oot		53.5	0.5
o		54.0	0.5
rommership		54.5	0.5
micket		55.0	0.5
n		55.5	0.5
+		56.0	0.5
mogs		56.5	0.5
schoat		57.0	0.5
myntems		57.5	0.5
logoy		58.0	0.5
moilboin		58.5	0.5
o		59.0	0.5
myntem		59.5	0.5
oy		60.0	0.5
curocotive		60.5	0.5
regonds		61.0	0.5
oy		61.5	0.5
mupols		62.0	0.5
n		62.5	0.5
+		63.0	0.5
i		63.5	0.5
want		64.0	0.5
to		64.5	0.5
create		65.0	0.5
the		65.5	0.5
impression		66.0	0.5
of		66.5	0.5
a		67.0	0.5
compound		67.5	0.5
full		68.0	0.5
of		68.5	0.5
children		69.0	0.5
s		69.5	0.5
+		70.0	0.5
kate		70.5	0.5
went		71.0	0.5
back		71.5	0.5
and		72.0	0.5
reminded		72.5	0.5
the		73.0	0.5
kitchen		73.5	0.5
women		74.0	0.5
of		74.5	0.5
the		75.0	0.5
supper		75.5	0.5
preparations		76.0	0.5
s		76.5	0.5
+		77.0	0.5
he		77.5	0.5
knelt		78.0	0.5
down		78.5	0.5
at		79.0	0.5
his		79.5	0.5
bed		80.0	0.5
as		80.5	0.5
long		81.0	0.5
as		81.5	0.5
he		82.0	0.5
could		82.5	0.5
kneel		83.0	0.5
s		83.5	0.5
+		84.0	0.5
solfore		84.5	0.5
hud		85.0	0.5
moffs		85.5	0.5
beoves		86.0	0.5
ree		86.5	0.5
rorms		87.0	0.5
oy		87.5	0.5
ree		88.0	0.5
liffs		88.5	0.5
tror		89.0	0.5
ree		89.5	0.5
gondow		90.0	0.5
n		90.5	0.5
+		91.0	0.5
ose		91.5	0.5
plin		92.0	0.5
wam		92.5	0.5
lefose		93.0	0.5
hu		93.5	0.5
benon		94.0	0.5
ro		94.5	0.5
scoy		95.0	0.5
hus		95.5	0.5
stisquingly		96.0	0.5
booltisul		96.5	0.5
jowd		97.0	0.5
n		97.5	0.5
+		98.0	0.5
ot		98.5	0.5
osteored		99.0	0.5
frot		99.5	0.5
ree		100.0	0.5
pleupy		100.5	0.5
courn		101.0	0.5
ne		101.5	0.5
somes		102.0	0.5
en		102.5	0.5
ove		103.0	0.5
wob		103.5	0.5
umly		104.0	0.5
n		104.5	0.5
+		105.0	0.5
there		105.5	0.5
is		106.0	0.5
no		106.5	0.5
occasion		107.0	0.5
to		107.5	0.5
feel		108.0	0.5
uneasy		108.5	0.5
or		109.0	0.5
disturbed		109.5	0.5
about		110.0	0.5
these		110.5	0.5
people		111.0	0.5
s		111.5	0.5
+		112.0	0.5
usually		112.5	0.5
there		113.0	0.5
are		113.5	0.5
more		114.0	0.5
factors		114.5	0.5
to		115.0	0.5
good		115.5	0.5
site		116.0	0.5
planning		116.5	0.5
than		117.0	0.5
first		117.5	0.5
impressions		118.0	0.5
s		118.5	0.5
+		119.0	0.5
it		119.5	0.5
was		120.0	0.5
a		120.5	0.5
relief		121.0	0.5
to		121.5	0.5
shift		122.0	0.5
in		122.5	0.5
his		123.0	0.5
mind		123.5	0.5
