word	format	onset	duration
+		0.0	14.0
+		14.0	0.1
HE		14.1	0.45
ENLISTED		14.55	0.45
A		15.0	0.45
STAFF		15.45	0.45
OF		15.9	0.45
LOYAL		16.35	0.45
EXPERTS		16.8	0.45
AND		17.25	0.45
OF		17.7	0.45
MANY		18.15	0.45
ZEALOUS		18.6	0.45
VOLUNTEERS		19.05	0.45
:		19.5	0.5
+		20.0	0.1
HE		20.1	0.45
BASES		20.55	0.45
HIS		21.0	0.45
APPROACH		21.45	0.45
ON		21.9	0.45
THE		22.35	0.45
BELIEF		22.8	0.45
THAT		23.25	0.45
ANYTHING		23.7	0.45
CAN		24.15	0.45
FOLLOW		24.6	0.45
ANYTHING		25.05	0.45
:		25.5	0.5
+		26.0	0.1
IN		26.1	0.45
THIS		26.55	0.45
PLAY		27.0	0.45
THERE		27.45	0.45
WERE		27.9	0.45
SO		28.35	0.45
MANY		28.8	0.45
CHARACTERS		29.25	0.45
AND		29.7	0.45
SO		30.15	0.45
MUCH		30.6	0.45
DETAIL		31.05	0.45
:		31.5	0.5
+		32.0	0.1
LOGOY		32.1	0.45
WHOSS		32.55	0.45
GROILS		33.0	0.45
ONK		33.45	0.45
FROFTLY		33.9	0.45
CROUND		34.35	0.45
ELKBY		34.8	0.45
DUY		35.25	0.45
OSE		35.7	0.45
BUKED		36.15	0.45
INNI		36.6	0.45
CLEOD		37.05	0.45
:		37.5	0.5
+		38.0	0.1
REE		38.1	0.45
RILKS		38.55	0.45
RO		39.0	0.45
LEOMS		39.45	0.45
FUCOCIES		39.9	0.45
SHOURN		40.35	0.45
NE		40.8	0.45
PELPRONTIOLLY		41.25	0.45
REGUGNS		41.7	0.45
OSE		42.15	0.45
OBTINOSSLY		42.6	0.45
ELUSIPATED		43.05	0.45
:		43.5	0.5
+		44.0	0.1
LEENS		44.1	0.45
CAG		44.55	0.45
FOGE		45.0	0.45
OP		45.45	0.45
IMPORLENT		45.9	0.45
CLIDGE		46.35	0.45
BESHOON		46.8	0.45
REE		47.25	0.45
PRESIBOTE		47.7	0.45
OSE		48.15	0.45
REE		48.6	0.45
FOPURCY		49.05	0.45
:		49.5	0.5
+		50.0	0.1
QUAT		50.1	0.45
MOLLERED		50.55	0.45
WAM		51.0	0.45
FROT		51.45	0.45
O		51.9	0.45
NER		52.35	0.45
CONGOPT		52.8	0.45
OY		53.25	0.45
EMERINUTE		53.7	0.45
WAM		54.15	0.45
COING		54.6	0.45
BORK		55.05	0.45
:		55.5	0.5
+		56.0	0.1
CUYS		56.1	0.45
WAM		56.55	0.45
SOO		57.0	0.45
INVINGED		57.45	0.45
EN		57.9	0.45
HUS		58.35	0.45
OPE		58.8	0.45
TROPIENS		59.25	0.45
RO		59.7	0.45
POB		60.15	0.45
MUME		60.6	0.45
OTLINSION		61.05	0.45
:		61.5	0.5
+		62.0	0.1
UNENGES		62.1	0.45
OSE		62.55	0.45
GROPEGREET		63.0	0.45
ONK		63.45	0.45
SHICKED		63.9	0.45
TROR		64.35	0.45
CLERIGO		64.8	0.45
WEOFLY		65.25	0.45
TROR		65.7	0.45
OP		66.15	0.45
OMRONIC		66.6	0.45
FASK		67.05	0.45
:		67.5	0.5
+		68.0	0.1
SCOTTY		68.1	0.45
ACCEPTED		68.55	0.45
THE		69.0	0.45
DECISION		69.45	0.45
WITH		69.9	0.45
INDIFFERENCE		70.35	0.45
AND		70.8	0.45
DID		71.25	0.45
NOT		71.7	0.45
ENTER		72.15	0.45
THE		72.6	0.45
ARGUMENTS		73.05	0.45
:		73.5	0.5
+		74.0	0.1
THIS		74.1	0.45
PROCEDURE		74.55	0.45
IS		75.0	0.45
MUCH		75.45	0.45
MORE		75.9	0.45
EFFECTIVE		76.35	0.45
THAN		76.8	0.45
GIVING		77.25	0.45
OUT		77.7	0.45
A		78.15	0.45
MEMBERSHIP		78.6	0.45
PACKET		79.05	0.45
:		79.5	0.5
+		80.0	0.1
MOST		80.1	0.45
SCHOOL		80.55	0.45
SYSTEMS		81.0	0.45
TODAY		81.45	0.45
MAINTAIN		81.9	0.45
A		82.35	0.45
SYSTEM		82.8	0.45
OF		83.25	0.45
CUMULATIVE		83.7	0.45
RECORDS		84.15	0.45
OF		84.6	0.45
PUPILS		85.05	0.45
:		85.5	0.5
