word	format	onset	duration
+		0.0	14.0
+		14.0	0.1
REPPIES		14.1	0.45
OY		14.55	0.45
PLIN		15.0	0.45
TUTTER		15.45	0.45
DERE		15.9	0.45
MOMP		16.35	0.45
IMICTOBLE		16.8	0.45
RO		17.25	0.45
REE		17.7	0.45
PRELT		18.15	0.45
OSE		18.6	0.45
PEMLIC		19.05	0.45
:		19.5	0.5
+		20.0	0.1
NER		20.1	0.45
UCUOS		20.55	0.45
FOM		21.0	0.45
IMBRIGING		21.45	0.45
TIWRITION		21.9	0.45
CADE		22.35	0.45
PITH		22.8	0.45
REE		23.25	0.45
CHOVY		23.7	0.45
OY		24.15	0.45
SORD		24.6	0.45
CHOOTMENT		25.05	0.45
:		25.5	0.5
+		26.0	0.1
QUEY		26.1	0.45
ONK		26.55	0.45
FLUING		27.0	0.45
RO		27.45	0.45
DIDORSTROTE		27.9	0.45
SOTH		28.35	0.45
DETLERENT		28.8	0.45
WOSS		29.25	0.45
OY		29.7	0.45
FOUCHING		30.15	0.45
OSE		30.6	0.45
FOURNING		31.05	0.45
:		31.5	0.5
+		32.0	0.1
IT		32.1	0.45
BECAME		32.55	0.45
SO		33.0	0.45
MONOTONOUS		33.45	0.45
AS		33.9	0.45
TO		34.35	0.45
SEEM		34.8	0.45
A		35.25	0.45
PART		35.7	0.45
OF		36.15	0.45
THE		36.6	0.45
QUIETNESS		37.05	0.45
:		37.5	0.5
+		38.0	0.1
I		38.1	0.45
WAS		38.55	0.45
GRATEFUL		39.0	0.45
FOR		39.45	0.45
THEIR		39.9	0.45
INSIGHT		40.35	0.45
INTO		40.8	0.45
MY		41.25	0.45
NEED		41.7	0.45
FOR		42.15	0.45
THIS		42.6	0.45
EXPERIENCE		43.05	0.45
:		43.5	0.5
+		44.0	0.1
MANY		44.1	0.45
OF		44.55	0.45
THEM		45.0	0.45
HAVE		45.45	0.45
DRIFTED		45.9	0.45
INTO		46.35	0.45
THE		46.8	0.45
CITIES		47.25	0.45
AND		47.7	0.45
TOWNS		48.15	0.45
AND		48.6	0.45
SEAPORTS		49.05	0.45
:		49.5	0.5
+		50.0	0.1
LET		50.1	0.45
US		50.55	0.45
SPECULATE		51.0	0.45
A		51.45	0.45
LITTLE		51.9	0.45
ON		52.35	0.45
THE		52.8	0.45
MAXIMUM		53.25	0.45
SIZE		53.7	0.45
OF		54.15	0.45
THE		54.6	0.45
ANACONDA		55.05	0.45
:		55.5	0.5
+		56.0	0.1
THIS		56.1	0.45
WE		56.55	0.45
BELIEVE		57.0	0.45
WILL		57.45	0.45
SUBSTANTIALLY		57.9	0.45
BROADEN		58.35	0.45
THE		58.8	0.45
POTENTIAL		59.25	0.45
MARKET		59.7	0.45
FOR		60.15	0.45
THE		60.6	0.45
EQUIPMENT		61.05	0.45
:		61.5	0.5
+		62.0	0.1
HISTORIANS		62.1	0.45
HAVE		62.55	0.45
HAD		63.0	0.45
TWO		63.45	0.45
REASONS		63.9	0.45
FOR		64.35	0.45
PERSISTING		64.8	0.45
SO		65.25	0.45
LONG		65.7	0.45
IN		66.15	0.45
THEIR		66.6	0.45
INVESTIGATIONS		67.05	0.45
:		67.5	0.5
+		68.0	0.1
E		68.1	0.45
GORTED		68.55	0.45
RO		69.0	0.45
HERF		69.45	0.45
SU		69.9	0.45
FROT		70.35	0.45
DE		70.8	0.45
COURN		71.25	0.45
FIMP		71.7	0.45
TICE		72.15	0.45
RO		72.6	0.45
SCOY		73.05	0.45
:		73.5	0.5
+		74.0	0.1
QUEY		74.1	0.45
ONK		74.55	0.45
REE		75.0	0.45
MOGS		75.45	0.45
BOOLTISUL		75.9	0.45
POME		76.35	0.45
OY		76.8	0.45
FROT		77.25	0.45
TOTTLE		77.7	0.45
PIEKS		78.15	0.45
OY		78.6	0.45
LOTURE		79.05	0.45
:		79.5	0.5
+		80.0	0.1
HU		80.1	0.45
GORTED		80.55	0.45
RO		81.0	0.45
GE		81.45	0.45
BAPS		81.9	0.45
RO		82.35	0.45
HANHARD		82.8	0.45
FOM		83.25	0.45
OLUPSER		83.7	0.45
YLPH		84.15	0.45
OY		84.6	0.45
SCAYPHIDING		85.05	0.45
:		85.5	0.5
+		86.0	14.0
+		100.0	0.1
VISITORS		100.1	0.45
ARE		100.55	0.45
