word	format	onset	duration
+		0.0	14.0
+		14.0	0.1
JUST		14.1	0.45
THE		14.55	0.45
BAREST		15.0	0.45
SUGGESTION		15.45	0.45
OF		15.9	0.45
A		16.35	0.45
HEEL		16.8	0.45
IS		17.25	0.45
FOUND		17.7	0.45
ON		18.15	0.45
TEENAGE		18.6	0.45
PUMPS		19.05	0.45
:		19.5	0.5
+		20.0	0.1
TO		20.1	0.45
THE		20.55	0.45
DIRECTORS		21.0	0.45
THE		21.45	0.45
PROBLEM		21.9	0.45
APPEARED		22.35	0.45
A		22.8	0.45
MATTER		23.25	0.45
OF		23.7	0.45
INTRIGUE		24.15	0.45
OR		24.6	0.45
DIPLOMACY		25.05	0.45
:		25.5	0.5
+		26.0	0.1
THERE		26.1	0.45
WAS		26.55	0.45
LITTLE		27.0	0.45
LIKELIHOOD		27.45	0.45
OF		27.9	0.45
ANY		28.35	0.45
CUSTOMERS		28.8	0.45
WALKING		29.25	0.45
IN		29.7	0.45
AT		30.15	0.45
THAT		30.6	0.45
HOUR		31.05	0.45
:		31.5	0.5
+		32.0	0.1
POME		32.1	0.45
OY		32.55	0.45
REE		33.0	0.45
HOLILY		33.45	0.45
SHOURN		33.9	0.45
NE		34.35	0.45
SLEOMING		34.8	0.45
WHIMP		35.25	0.45
REE		35.7	0.45
RERE		36.15	0.45
OS		36.6	0.45
OFUKE		37.05	0.45
:		37.5	0.5
+		38.0	0.1
OT		38.1	0.45
MOMP		38.55	0.45
VO		39.0	0.45
DETLERENCE		39.45	0.45
FROT		39.9	0.45
MOGS		40.35	0.45
ELIBONCE		40.8	0.45
POLVED		41.25	0.45
RO		41.7	0.45
OP		42.15	0.45
UMMOSITE		42.6	0.45
COMBLISION		43.05	0.45
:		43.5	0.5
+		44.0	0.1
CHITMENTS		44.1	0.45
OY		44.55	0.45
ORLS		45.0	0.45
TROR		45.45	0.45
WENDERT		45.9	0.45
COONGLIES		46.35	0.45
COURN		46.8	0.45
MOMICONLY		47.25	0.45
NE		47.7	0.45
SOOZED		48.15	0.45
AR		48.6	0.45
CONTROGOME		49.05	0.45
:		49.5	0.5
+		50.0	0.1
E		50.1	0.45
WOSE		50.55	0.45
RO		51.0	0.45
SPEONT		51.45	0.45
REE		51.9	0.45
INTLOSSION		52.35	0.45
OY		52.8	0.45
O		53.25	0.45
COMBOUSE		53.7	0.45
FUMS		54.15	0.45
OY		54.6	0.45
CHIGSHEN		55.05	0.45
:		55.5	0.5
+		56.0	0.1
KAKE		56.1	0.45
WEWS		56.55	0.45
BAPS		57.0	0.45
OSE		57.45	0.45
RECOSSED		57.9	0.45
REE		58.35	0.45
LENCHEN		58.8	0.45
WESEN		59.25	0.45
OY		59.7	0.45
REE		60.15	0.45
SUSSER		60.6	0.45
PRODENOTIONS		61.05	0.45
:		61.5	0.5
+		62.0	0.1
HU		62.1	0.45
WRELT		62.55	0.45
DOIL		63.0	0.45
ET		63.45	0.45
HUS		63.9	0.45
BEP		64.35	0.45
AR		64.8	0.45
LONK		65.25	0.45
AR		65.7	0.45
HU		66.15	0.45
COURN		66.6	0.45
KNEOL		67.05	0.45
:		67.5	0.5
+		68.0	0.1
HE		68.1	0.45
STOPPED		68.55	0.45
PACING		69.0	0.45
TO		69.45	0.45
STARE		69.9	0.45
AT		70.35	0.45
HAL		70.8	0.45
WITH		71.25	0.45
HIS		71.7	0.45
PALE		72.15	0.45
BLUE		72.6	0.45
EYES		73.05	0.45
:		73.5	0.5
+		74.0	0.1
A		74.1	0.45
NUMBER		74.55	0.45
OF		75.0	0.45
CONSIDERATIONS		75.45	0.45
SUGGEST		75.9	0.45
THAT		76.35	0.45
THIS		76.8	0.45
OCCURS		77.25	0.45
EARLY		77.7	0.45
IN		78.15	0.45
THE		78.6	0.45
PROCESS		79.05	0.45
:		79.5	0.5
+		80.0	0.1
TO		80.1	0.45
COMPUTE		80.55	0.45
YOUR		81.0	0.45
ADJUSTED		81.45	0.45
GROSS		81.9	0.45
INCOME		82.35	0.45
YOU		82.8	0.45
TOTAL		83.25	0.45
ALL		83.7	0.45
ITEMS		84.15	0.45
OF		84.6	0.45
INCOME		85.05	0.45
:		85.5	0.5
+		86.0	14.0
+		100.0	0.1
TRORE		100.1	0.45
OS		100.55	0.45
VO		101.0	0.45
