Groupe category title path silence_duration total_duration onset
U Synthetic Streets_Of_Rage_1_OST_Stage_1_silenced.wav data/mutemusic/stimuli/Synthetic/Streets_Of_Rage_1_OST_Stage_1_silenced.wav 11 44.0 
U Synthetic Castlevania_4_Bloody_Tears_(Super_Nintendo)_silenced.wav data/mutemusic/stimuli/Synthetic/Castlevania_4_Bloody_Tears_(Super_Nintendo)_silenced.wav 14 58.0 
F Synthetic Super_Mario_Bros_(NES)_Music_Underground_Theme_silenced.wav data/mutemusic/stimuli/Synthetic/Super_Mario_Bros_(NES)_Music_Underground_Theme_silenced.wav 12 49.0 
U Orchestral Gnossienne_No1_silenced.wav data/mutemusic/stimuli/Orchestral/Gnossienne_No1_silenced.wav 16 63.0 
U Lyrics Babooshka_silenced.wav data/mutemusic/stimuli/Lyrics/Babooshka_silenced.wav 14 55.0 
F Lyrics Its_Raining_Men_silenced.wav data/mutemusic/stimuli/Lyrics/Its_Raining_Men_silenced.wav 16 62.0 
F Orchestral Seinfeld_Official_Soundtrack_(Seinfeld_Theme)_silenced.wav data/mutemusic/stimuli/Orchestral/Seinfeld_Official_Soundtrack_(Seinfeld_Theme)_silenced.wav 13 52.0 
F Synthetic Aladdin_Genesis_Music_Ending_silenced.wav data/mutemusic/stimuli/Synthetic/Aladdin_Genesis_Music_Ending_silenced.wav 16 65.0 
U Lyrics Rain_silenced.wav data/mutemusic/stimuli/Lyrics/Rain_silenced.wav 12 48.0 
F Lyrics No_Woman_No_Cry_silenced.wav data/mutemusic/stimuli/Lyrics/No_Woman_No_Cry_silenced.wav 16 64.0 

