Groupe	category	title	path	silence_duration	total_duration	onset
F	Orchestral	The_4_Seasons_Op_8_4_RV_297_Winter_silenced.wav	data/mutemusic/stimuli/Orchestral/The_4_Seasons_Op_8_4_RV_297_Winter_silenced.wav	15	60.0	2.0160019397735596
F	Lyrics	Material_Girl_silenced.wav	data/mutemusic/stimuli/Lyrics/Material_Girl_silenced.wav	12	50.0	69.06919193267822
F	Orchestral	The_Pink_Panther_Theme_silenced.wav	data/mutemusic/stimuli/Orchestral/The_Pink_Panther_Theme_silenced.wav	11	45.0	126.10110592842102
U	Orchestral	Another_Brick_In_The_Wall_(Part_1)_silenced.wav	data/mutemusic/stimuli/Orchestral/Another_Brick_In_The_Wall_(Part_1)_silenced.wav	11	45.0	178.17212581634521
U	Orchestral	The_Moldau_silenced.wav	data/mutemusic/stimuli/Orchestral/The_Moldau_silenced.wav	14	54.0	229.657222032547
F	Synthetic	Super_Mario_Bros_3_Underwater_Theme_silenced.wav	data/mutemusic/stimuli/Synthetic/Super_Mario_Bros_3_Underwater_Theme_silenced.wav	12	46.0	290.7208080291748
U	Synthetic	Shinobi_3_Return_Of_The_Ninja_Master_OST_Idaten_(level_5_1)_silenced.wav	data/mutemusic/stimuli/Synthetic/Shinobi_3_Return_Of_The_Ninja_Master_OST_Idaten_(level_5_1)_silenced.wav	15	61.0	343.7535619735718
U	Synthetic	Super_Mario_64_BobOmb_Battlefield_(Extended)_Theme_silenced.wav	data/mutemusic/stimuli/Synthetic/Super_Mario_64_BobOmb_Battlefield_(Extended)_Theme_silenced.wav	14	54.0	411.82135581970215
U	Lyrics	Another_Brick_In_The_Wall_(Part_1)_silenced.wav	data/mutemusic/stimuli/Lyrics/Another_Brick_In_The_Wall_(Part_1)_silenced.wav	15	60.0	472.8842890262604
F	Synthetic	Super_Mario_Bros_(NES)_Music_Castle_Theme_silenced.wav	data/mutemusic/stimuli/Synthetic/Super_Mario_Bros_(NES)_Music_Castle_Theme_silenced.wav	12	47.0	539.9289119243622
