Groupe	category	title	path	silence_duration	total_duration	onset
U	Synthetic	Final_Fantasy_7_Music_Aeriths_Theme_silenced.wav	data/mutemusic/stimuli/Synthetic/Final_Fantasy_7_Music_Aeriths_Theme_silenced.wav	14	57.0	2.0038280487060547
F	Orchestral	The_Office_(Main_Theme)_silenced.wav	data/mutemusic/stimuli/Orchestral/The_Office_(Main_Theme)_silenced.wav	16	62.0	64.90609908103943
U	Lyrics	Synchronicity_silenced.wav	data/mutemusic/stimuli/Lyrics/Synchronicity_silenced.wav	12	47.0	131.01831603050232
U	Synthetic	Legend_of_Zelda_The_(NES)_Music_Overworld_Theme_silenced.wav	data/mutemusic/stimuli/Synthetic/Legend_of_Zelda_The_(NES)_Music_Overworld_Theme_silenced.wav	12	50.0	185.0642158985138
U	Orchestral	Main_Title_Terminator_2_Theme_(Remastered_2017)_silenced.wav	data/mutemusic/stimuli/Orchestral/Main_Title_Terminator_2_Theme_(Remastered_2017)_silenced.wav	14	54.0	238.94947004318237
F	Orchestral	The_Office_(Main_Theme)_silenced.wav	data/mutemusic/stimuli/Orchestral/The_Office_(Main_Theme)_silenced.wav	16	62.0	299.9975049495697
F	Synthetic	Super_Mario_Bros_3_Overworld_1_Theme_silenced.wav	data/mutemusic/stimuli/Synthetic/Super_Mario_Bros_3_Overworld_1_Theme_silenced.wav	14	54.0	369.04447889328003
F	Synthetic	Super_Mario_Bros_3_Athletic_Theme_silenced.wav	data/mutemusic/stimuli/Synthetic/Super_Mario_Bros_3_Athletic_Theme_silenced.wav	12	50.0	430.08332800865173
U	Orchestral	Dreaming_of_Bag_End_silenced.wav	data/mutemusic/stimuli/Orchestral/Dreaming_of_Bag_End_silenced.wav	13	52.0	487.1522719860077
F	Lyrics	Creep_silenced.wav	data/mutemusic/stimuli/Lyrics/Creep_silenced.wav	12	49.0	546.1846289634705
F	Orchestral	Game_of_Thrones_Main_Title_silenced.wav	data/mutemusic/stimuli/Orchestral/Game_of_Thrones_Main_Title_silenced.wav	14	56.0	602.2302079200745
