,Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
0,7,1,0,0,0,0,1,0,1,14,1,1,1,3,0,7,6,9,1,1,0,0,1,4,1,True
1,193,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,3,2,0,0,0,1,0,1,2,True
2,285,7,0,0,1,3,1,3,7,10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,False
3,281,6,0,0,1,3,0,3,6,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,False
4,46,11,1,1,0,1,1,5,3,12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,True
5,3,1,0,0,0,0,1,0,1,6,0,0,1,3,0,3,6,14,1,1,1,3,0,7,6,False
6,260,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,8,1,1,0,0,0,4,0,True
7,194,1,0,0,0,0,1,0,1,5,0,0,1,2,1,2,5,0,0,0,0,0,0,0,0,True
8,226,9,1,1,0,0,1,4,1,4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,False
9,177,13,1,1,1,2,1,6,5,3,0,0,0,1,1,1,3,2,0,0,0,1,0,1,2,True
10,57,14,1,1,1,3,0,7,6,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,False
11,94,7,0,0,1,3,1,3,7,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
12,289,9,1,1,0,0,1,4,1,3,0,0,0,1,1,1,3,13,1,1,1,2,1,6,5,False
13,45,10,1,1,0,1,0,5,2,11,1,1,0,1,1,5,3,4,0,0,1,2,0,2,4,False
14,17,5,0,0,1,2,1,2,5,2,0,0,0,1,0,1,2,10,1,1,0,1,0,5,2,False
15,185,14,1,1,1,3,0,7,6,3,0,0,0,1,1,1,3,10,1,1,0,1,0,5,2,False
16,268,2,0,0,0,1,0,1,2,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,True
17,60,14,1,1,1,3,0,7,6,9,1,1,0,0,1,4,1,14,1,1,1,3,0,7,6,True
18,24,6,0,0,1,3,0,3,6,1,0,0,0,0,1,0,1,14,1,1,1,3,0,7,6,False
19,114,12,1,1,1,2,0,6,4,5,0,0,1,2,1,2,5,11,1,1,0,1,1,5,3,False
