Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
315,14,1,1,1,3,0,7,6,6,0,0,1,3,0,3,6,8,1,1,0,0,0,4,0,False
108,10,1,1,0,1,0,5,2,8,1,1,0,0,0,4,0,8,1,1,0,0,0,4,0,True
269,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,5,0,0,1,2,1,2,5,False
66,1,0,0,0,0,1,0,1,4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,True
197,0,0,0,0,0,0,0,0,11,1,1,0,1,1,5,3,7,0,0,1,3,1,3,7,False
18,4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,True
184,14,1,1,1,3,0,7,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,True
113,12,1,1,1,2,0,6,4,2,0,0,0,1,0,1,2,10,1,1,0,1,0,5,2,True
19,5,0,0,1,2,1,2,5,7,0,0,1,3,1,3,7,2,0,0,0,1,0,1,2,False
182,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,9,1,1,0,0,1,4,1,False
92,7,0,0,1,3,1,3,7,8,1,1,0,0,0,4,0,3,0,0,0,1,1,1,3,True
79,2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,True
220,7,0,0,1,3,1,3,7,9,1,1,0,0,1,4,1,5,0,0,1,2,1,2,5,False
152,6,0,0,1,3,0,3,6,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,3,True
72,2,0,0,0,1,0,1,2,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,True
96,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,1,2,1,2,5,False
15,2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,11,1,1,0,1,1,5,3,False
111,10,1,1,0,1,0,5,2,15,1,1,1,3,1,7,7,1,0,0,0,0,1,0,1,False
10,3,0,0,0,1,1,1,3,4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,True
180,13,1,1,1,2,1,6,5,8,1,1,0,0,0,4,0,6,0,0,1,3,0,3,6,False
