Unnamed: 0,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
95,14,3,1,0,1,7,6,12,2,1,0,1,6,4,5,2,0,1,1,2,5,9,0,1,1,0,4,1,False,True
238,5,2,0,1,1,2,5,9,0,1,1,0,4,1,10,1,1,0,0,5,2,11,1,1,1,0,5,3,True,False
178,8,0,1,0,0,4,0,8,0,1,0,0,4,0,11,1,1,1,0,5,3,7,3,0,1,1,3,7,True,False
250,0,0,0,0,0,0,0,5,2,0,1,1,2,5,1,0,0,1,0,0,1,14,3,1,0,1,7,6,True,False
41,8,0,1,0,0,4,0,13,2,1,1,1,6,5,8,0,1,0,0,4,0,11,1,1,1,0,5,3,True,True
89,13,2,1,1,1,6,5,8,0,1,0,0,4,0,14,3,1,0,1,7,6,12,2,1,0,1,6,4,True,True
246,5,2,0,1,1,2,5,6,3,0,0,1,3,6,4,2,0,0,1,2,4,13,2,1,1,1,6,5,True,False
136,6,3,0,0,1,3,6,13,2,1,1,1,6,5,1,0,0,1,0,0,1,3,1,0,1,0,1,3,False,True
26,11,1,1,1,0,5,3,2,1,0,0,0,1,2,12,2,1,0,1,6,4,2,1,0,0,0,1,2,False,False
313,4,2,0,0,1,2,4,2,1,0,0,0,1,2,4,2,0,0,1,2,4,9,0,1,1,0,4,1,True,False
141,2,1,0,0,0,1,2,2,1,0,0,0,1,2,7,3,0,1,1,3,7,11,1,1,1,0,5,3,True,False
227,7,3,0,1,1,3,7,0,0,0,0,0,0,0,14,3,1,0,1,7,6,0,0,0,0,0,0,0,False,True
0,13,2,1,1,1,6,5,0,0,0,0,0,0,0,8,0,1,0,0,4,0,8,0,1,0,0,4,0,False,True
287,14,3,1,0,1,7,6,12,2,1,0,1,6,4,6,3,0,0,1,3,6,9,0,1,1,0,4,1,False,True
274,13,2,1,1,1,6,5,5,2,0,1,1,2,5,14,3,1,0,1,7,6,2,1,0,0,0,1,2,False,False
291,6,3,0,0,1,3,6,2,1,0,0,0,1,2,6,3,0,0,1,3,6,0,0,0,0,0,0,0,True,True
