Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
210,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,True
148,4,0,0,1,2,0,2,4,8,1,1,0,0,0,4,0,14,1,1,1,3,0,7,6,False
309,12,1,1,1,2,0,6,4,10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,True
258,1,0,0,0,0,1,0,1,5,0,0,1,2,1,2,5,5,0,0,1,2,1,2,5,True
132,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,1,0,0,0,0,1,0,1,True
317,15,1,1,1,3,1,7,7,10,1,1,0,1,0,5,2,6,0,0,1,3,0,3,6,False
234,10,1,1,0,1,0,5,2,5,0,0,1,2,1,2,5,14,1,1,1,3,0,7,6,True
312,15,1,1,1,3,1,7,7,1,0,0,0,0,1,0,1,13,1,1,1,2,1,6,5,False
232,10,1,1,0,1,0,5,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,True
124,15,1,1,1,3,1,7,7,9,1,1,0,0,1,4,1,7,0,0,1,3,1,3,7,False
101,8,1,1,0,0,0,4,0,11,1,1,0,1,1,5,3,7,0,0,1,3,1,3,7,False
109,11,1,1,0,1,1,5,3,10,1,1,0,1,0,5,2,10,1,1,0,1,0,5,2,True
254,15,1,1,1,3,1,7,7,12,1,1,1,2,0,6,4,9,1,1,0,0,1,4,1,False
158,7,0,0,1,3,1,3,7,13,1,1,1,2,1,6,5,3,0,0,0,1,1,1,3,False
280,6,0,0,1,3,0,3,6,1,0,0,0,0,1,0,1,10,1,1,0,1,0,5,2,True
31,6,0,0,1,3,0,3,6,14,1,1,1,3,0,7,6,13,1,1,1,2,1,6,5,True
262,0,0,0,0,0,0,0,0,12,1,1,1,2,0,6,4,9,1,1,0,0,1,4,1,False
195,0,0,0,0,0,0,0,0,6,0,0,1,3,0,3,6,13,1,1,1,2,1,6,5,True
146,4,0,0,1,2,0,2,4,5,0,0,1,2,1,2,5,8,1,1,0,0,0,4,0,False
218,6,0,0,1,3,0,3,6,5,0,0,1,2,1,2,5,7,0,0,1,3,1,3,7,True
