Unnamed: 0,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
7,12,2,1,0,1,6,4,8,0,1,0,0,4,0,15,3,1,1,1,7,7,10,1,1,0,0,5,2,False,False
50,11,1,1,1,0,5,3,0,0,0,0,0,0,0,9,0,1,1,0,4,1,10,1,1,0,0,5,2,True,True
53,5,2,0,1,1,2,5,14,3,1,0,1,7,6,7,3,0,1,1,3,7,7,3,0,1,1,3,7,True,False
19,14,3,1,0,1,7,6,1,0,0,1,0,0,1,9,0,1,1,0,4,1,5,2,0,1,1,2,5,True,False
66,2,1,0,0,0,1,2,14,3,1,0,1,7,6,11,1,1,1,0,5,3,3,1,0,1,0,1,3,False,True
25,7,3,0,1,1,3,7,6,3,0,0,1,3,6,1,0,0,1,0,0,1,7,3,0,1,1,3,7,False,True
44,4,2,0,0,1,2,4,3,1,0,1,0,1,3,8,0,1,0,0,4,0,5,2,0,1,1,2,5,False,True
13,7,3,0,1,1,3,7,11,1,1,1,0,5,3,7,3,0,1,1,3,7,8,0,1,0,0,4,0,False,False
76,12,2,1,0,1,6,4,6,3,0,0,1,3,6,12,2,1,0,1,6,4,4,2,0,0,1,2,4,False,True
3,7,3,0,1,1,3,7,5,2,0,1,1,2,5,14,3,1,0,1,7,6,4,2,0,0,1,2,4,False,False
17,9,0,1,1,0,4,1,11,1,1,1,0,5,3,8,0,1,0,0,4,0,3,1,0,1,0,1,3,False,False
38,4,2,0,0,1,2,4,4,2,0,0,1,2,4,2,1,0,0,0,1,2,9,0,1,1,0,4,1,False,False
8,1,0,0,1,0,0,1,13,2,1,1,1,6,5,13,2,1,1,1,6,5,5,2,0,1,1,2,5,True,False
65,0,0,0,0,0,0,0,7,3,0,1,1,3,7,0,0,0,0,0,0,0,10,1,1,0,0,5,2,False,False
6,12,2,1,0,1,6,4,2,1,0,0,0,1,2,5,2,0,1,1,2,5,0,0,0,0,0,0,0,False,False
36,14,3,1,0,1,7,6,15,3,1,1,1,7,7,0,0,0,0,0,0,0,10,1,1,0,0,5,2,False,False
