Unnamed: 0,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
132,1,0,0,1,0,0,1,7,3,0,1,1,3,7,7,3,0,1,1,3,7,10,1,1,0,0,5,2,True,False
317,6,3,0,0,1,3,6,9,0,1,1,0,4,1,12,2,1,0,1,6,4,8,0,1,0,0,4,0,True,False
234,6,3,0,0,1,3,6,14,3,1,0,1,7,6,2,1,0,0,0,1,2,11,1,1,1,0,5,3,False,False
312,15,3,1,1,1,7,7,4,2,0,0,1,2,4,9,0,1,1,0,4,1,15,3,1,1,1,7,7,False,True
232,11,1,1,1,0,5,3,7,3,0,1,1,3,7,0,0,0,0,0,0,0,10,1,1,0,0,5,2,True,True
124,2,1,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,13,2,1,1,1,6,5,True,False
101,3,1,0,1,0,1,3,7,3,0,1,1,3,7,8,0,1,0,0,4,0,6,3,0,0,1,3,6,False,True
109,1,0,0,1,0,0,1,1,0,0,1,0,0,1,6,3,0,0,1,3,6,3,1,0,1,0,1,3,True,True
254,13,2,1,1,1,6,5,0,0,0,0,0,0,0,10,1,1,0,0,5,2,7,3,0,1,1,3,7,False,False
158,14,3,1,0,1,7,6,12,2,1,0,1,6,4,11,1,1,1,0,5,3,7,3,0,1,1,3,7,True,False
280,4,2,0,0,1,2,4,2,1,0,0,0,1,2,2,1,0,0,0,1,2,6,3,0,0,1,3,6,True,True
31,15,3,1,1,1,7,7,6,3,0,0,1,3,6,5,2,0,1,1,2,5,9,0,1,1,0,4,1,True,True
262,5,2,0,1,1,2,5,3,1,0,1,0,1,3,11,1,1,1,0,5,3,0,0,0,0,0,0,0,False,True
195,10,1,1,0,0,5,2,13,2,1,1,1,6,5,7,3,0,1,1,3,7,8,0,1,0,0,4,0,False,True
146,12,2,1,0,1,6,4,7,3,0,1,1,3,7,15,3,1,1,1,7,7,2,1,0,0,0,1,2,False,False
218,10,1,1,0,0,5,2,11,1,1,1,0,5,3,10,1,1,0,0,5,2,3,1,0,1,0,1,3,True,False
