Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
310,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
8,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,8,1,1,0,0,0,4,0,True
70,1,0,0,0,0,1,0,1,13,1,1,1,2,1,6,5,15,1,1,1,3,1,7,7,False
282,7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
64,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,False
44,11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,8,1,1,0,0,0,4,0,True
14,3,0,0,0,1,1,1,3,12,1,1,1,2,0,6,4,12,1,1,1,2,0,6,4,True
156,7,0,0,1,3,1,3,7,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,True
40,10,1,1,0,1,0,5,2,1,0,0,0,0,1,0,1,8,1,1,0,0,0,4,0,True
305,12,1,1,1,2,0,6,4,3,0,0,0,1,1,1,3,2,0,0,0,1,0,1,2,True
123,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,True
294,9,1,1,0,0,1,4,1,13,1,1,1,2,1,6,5,4,0,0,1,2,0,2,4,True
261,0,0,0,0,0,0,0,0,10,1,1,0,1,0,5,2,10,1,1,0,1,0,5,2,True
216,7,0,0,1,3,1,3,7,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,True
153,7,0,0,1,3,1,3,7,2,0,0,0,1,0,1,2,2,0,0,0,1,0,1,2,True
23,4,0,0,1,2,0,2,4,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,True
278,4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,3,0,0,0,1,1,1,3,False
236,11,1,1,0,1,1,5,3,9,1,1,0,0,1,4,1,6,0,0,1,3,0,3,6,False
207,3,0,0,0,1,1,1,3,15,1,1,1,3,1,7,7,8,1,1,0,0,0,4,0,False
212,4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,11,1,1,0,1,1,5,3,False
