,Unnamed: 0.1,Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
0,0,167,8,1,1,0,0,0,4,0,14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,True
1,1,230,9,1,1,0,0,1,4,1,12,1,1,1,2,0,6,4,5,0,0,1,2,1,2,5,False
2,2,25,6,0,0,1,3,0,3,6,3,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,True
3,3,63,14,1,1,1,3,0,7,6,15,1,1,1,3,1,7,7,13,1,1,1,2,1,6,5,False
4,4,9,3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,12,1,1,1,2,0,6,4,False
5,5,110,10,1,1,0,1,0,5,2,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,True
6,6,186,15,1,1,1,3,1,7,7,4,0,0,1,2,0,2,4,8,1,1,0,0,0,4,0,False
7,7,143,2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,True
8,8,244,12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,9,1,1,0,0,1,4,1,True
9,9,224,9,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,True
10,10,90,7,0,0,1,3,1,3,7,4,0,0,1,2,0,2,4,7,0,0,1,3,1,3,7,False
11,11,76,2,0,0,0,1,0,1,2,8,1,1,0,0,0,4,0,6,0,0,1,3,0,3,6,False
12,12,82,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,2,0,0,0,1,0,1,2,False
13,13,240,13,1,1,1,2,1,6,5,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,False
14,14,172,11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,1,0,0,0,0,1,0,1,True
15,15,119,12,1,1,1,2,0,6,4,15,1,1,1,3,1,7,7,11,1,1,0,1,1,5,3,False
16,16,202,3,0,0,0,1,1,1,3,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,False
17,17,77,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,False
18,18,55,12,1,1,1,2,0,6,4,14,1,1,1,3,0,7,6,12,1,1,1,2,0,6,4,False
19,19,104,11,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
