Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
85,4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,7,0,0,1,3,1,3,7,False
242,12,1,1,1,2,0,6,4,4,0,0,1,2,0,2,4,7,0,0,1,3,1,3,7,True
159,7,0,0,1,3,1,3,7,14,1,1,1,3,0,7,6,4,0,0,1,2,0,2,4,True
12,3,0,0,0,1,1,1,3,9,1,1,0,0,1,4,1,7,0,0,1,3,1,3,7,False
35,9,1,1,0,0,1,4,1,7,0,0,1,3,1,3,7,13,1,1,1,2,1,6,5,True
28,6,0,0,1,3,0,3,6,9,1,1,0,0,1,4,1,2,0,0,0,1,0,1,2,True
170,10,1,1,0,1,0,5,2,4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,False
142,2,0,0,0,1,0,1,2,12,1,1,1,2,0,6,4,15,1,1,1,3,1,7,7,True
266,3,0,0,0,1,1,1,3,4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,False
131,0,0,0,0,0,0,0,0,6,0,0,1,3,0,3,6,1,0,0,0,0,1,0,1,False
209,5,0,0,1,2,1,2,5,3,0,0,0,1,1,1,3,15,1,1,1,3,1,7,7,False
51,13,1,1,1,2,1,6,5,6,0,0,1,3,0,3,6,1,0,0,0,0,1,0,1,False
95,7,0,0,1,3,1,3,7,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,True
238,11,1,1,0,1,1,5,3,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
178,13,1,1,1,2,1,6,5,5,0,0,1,2,1,2,5,10,1,1,0,1,0,5,2,False
250,15,1,1,1,3,1,7,7,5,0,0,1,2,1,2,5,2,0,0,0,1,0,1,2,False
41,11,1,1,0,1,1,5,3,3,0,0,0,1,1,1,3,8,1,1,0,0,0,4,0,True
89,6,0,0,1,3,0,3,6,2,0,0,0,1,0,1,2,7,0,0,1,3,1,3,7,False
246,12,1,1,1,2,0,6,4,12,1,1,1,2,0,6,4,5,0,0,1,2,1,2,5,True
136,3,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,8,1,1,0,0,0,4,0,True
