Unnamed: 0,stim1,loc1,objmod1,ctgmod1,locmod1,angmod1,objlocmod1,ref1,stim2,action2,loc2,objmod2,ctgmod2,locmod2,angmod2,objlocmod2,ref2,stim3,action3,loc3,objmod3,ctgmod3,locmod3,angmod3,objlocmod3,ref3,stim4,action4,loc4,objmod4,ctgmod4,locmod4,angmod4,objlocmod4,ref4,stim5,action5,loc5,objmod5,ctgmod5,locmod5,angmod5,objlocmod5,ref5,stim6,action6,loc6,objmod6,ctgmod6,locmod6,angmod6,objlocmod6,ref6
94,8,1,0,0,1,0,4,0,0,False,0,0,0,0,0,0,0,11,False,1,1,0,1,1,5,3,10,True,1,1,0,1,0,5,2,15,True,1,3,1,1,1,7,7,15,True,1,3,1,1,1,7,7
57,4,0,2,1,0,0,2,4,10,False,1,1,0,1,0,5,2,13,True,1,2,1,1,1,6,5,14,True,1,3,1,1,0,7,6,2,False,0,1,0,0,0,1,2,9,False,1,0,0,1,1,4,1
75,6,0,3,1,0,0,3,6,9,False,1,0,0,1,1,4,1,2,False,0,1,0,0,0,1,2,4,True,0,2,1,0,0,2,4,12,False,1,2,1,1,0,6,4,10,True,1,1,0,1,0,5,2
32,5,0,2,1,0,1,2,5,10,False,1,1,0,1,0,5,2,1,False,0,0,0,0,1,0,1,15,False,1,3,1,1,1,7,7,4,False,0,2,1,0,0,2,4,5,True,0,2,1,0,1,2,5
108,4,0,2,1,0,0,2,4,11,False,1,1,0,1,1,5,3,1,False,0,0,0,0,1,0,1,7,True,0,3,1,0,1,3,7,12,False,1,2,1,1,0,6,4,4,False,0,2,1,0,0,2,4
59,5,0,2,1,0,1,2,5,6,True,0,3,1,0,0,3,6,10,False,1,1,0,1,0,5,2,6,False,0,3,1,0,0,3,6,9,False,1,0,0,1,1,4,1,5,False,0,2,1,0,1,2,5
63,5,0,2,1,0,1,2,5,9,False,1,0,0,1,1,4,1,12,True,1,2,1,1,0,6,4,6,False,0,3,1,0,0,3,6,13,False,1,2,1,1,1,6,5,11,True,1,1,0,1,1,5,3
106,5,0,2,1,0,1,2,5,15,False,1,3,1,1,1,7,7,8,True,1,0,0,1,0,4,0,5,False,0,2,1,0,1,2,5,8,False,1,0,0,1,0,4,0,8,True,1,0,0,1,0,4,0
37,7,0,3,1,0,1,3,7,7,True,0,3,1,0,1,3,7,7,True,0,3,1,0,1,3,7,14,False,1,3,1,1,0,7,6,14,True,1,3,1,1,0,7,6,2,False,0,1,0,0,0,1,2
