Unnamed: 0,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
59,10,1,1,0,0,5,2,9,0,1,1,0,4,1,11,1,1,1,0,5,3,6,3,0,0,1,3,6,False,False
63,11,1,1,1,0,5,3,11,1,1,1,0,5,3,13,2,1,1,1,6,5,13,2,1,1,1,6,5,False,False
69,5,2,0,1,1,2,5,10,1,1,0,0,5,2,14,3,1,0,1,7,6,6,3,0,0,1,3,6,False,False
37,5,2,0,1,1,2,5,1,0,0,1,0,0,1,13,2,1,1,1,6,5,15,3,1,1,1,7,7,False,False
29,6,3,0,0,1,3,6,9,0,1,1,0,4,1,13,2,1,1,1,6,5,1,0,0,1,0,0,1,False,False
1,9,0,1,1,0,4,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,3,1,0,1,0,1,3,True,False
52,15,3,1,1,1,7,7,10,1,1,0,0,5,2,6,3,0,0,1,3,6,10,1,1,0,0,5,2,False,False
21,13,2,1,1,1,6,5,12,2,1,0,1,6,4,8,0,1,0,0,4,0,6,3,0,0,1,3,6,False,False
2,11,1,1,1,0,5,3,14,3,1,0,1,7,6,6,3,0,0,1,3,6,2,1,0,0,0,1,2,True,True
23,4,2,0,0,1,2,4,0,0,0,0,0,0,0,6,3,0,0,1,3,6,3,1,0,1,0,1,3,False,False
74,10,1,1,0,0,5,2,10,1,1,0,0,5,2,1,0,0,1,0,0,1,1,0,0,1,0,0,1,False,False
20,6,3,0,0,1,3,6,13,2,1,1,1,6,5,12,2,1,0,1,6,4,11,1,1,1,0,5,3,True,False
60,4,2,0,0,1,2,4,5,2,0,1,1,2,5,7,3,0,1,1,3,7,5,2,0,1,1,2,5,False,True
71,12,2,1,0,1,6,4,0,0,0,0,0,0,0,10,1,1,0,0,5,2,10,1,1,0,0,5,2,False,False
14,8,0,1,0,0,4,0,11,1,1,1,0,5,3,8,0,1,0,0,4,0,15,3,1,1,1,7,7,False,False
51,14,3,1,0,1,7,6,14,3,1,0,1,7,6,4,2,0,0,1,2,4,4,2,0,0,1,2,4,False,False
