Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
279,5,0,0,1,2,1,2,5,14,1,1,1,3,0,7,6,0,0,0,0,0,0,0,0,False
11,3,0,0,0,1,1,1,3,6,0,0,1,3,0,3,6,5,0,0,1,2,1,2,5,True
316,14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,2,0,0,0,1,0,1,2,True
200,3,0,0,0,1,1,1,3,1,0,0,0,0,1,0,1,6,0,0,1,3,0,3,6,False
286,6,0,0,1,3,0,3,6,12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,False
27,6,0,0,1,3,0,3,6,7,0,0,1,3,1,3,7,13,1,1,1,2,1,6,5,True
248,14,1,1,1,3,0,7,6,1,0,0,0,0,1,0,1,15,1,1,1,3,1,7,7,False
4,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,2,0,0,0,1,0,1,2,True
122,15,1,1,1,3,1,7,7,5,0,0,1,2,1,2,5,1,0,0,0,0,1,0,1,False
32,9,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
231,8,1,1,0,0,0,4,0,14,1,1,1,3,0,7,6,3,0,0,0,1,1,1,3,False
162,9,1,1,0,0,1,4,1,5,0,0,1,2,1,2,5,6,0,0,1,3,0,3,6,True
237,10,1,1,0,1,0,5,2,11,1,1,0,1,1,5,3,1,0,0,0,0,1,0,1,True
283,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,4,0,0,1,2,0,2,4,True
138,2,0,0,0,1,0,1,2,5,0,0,1,2,1,2,5,14,1,1,1,3,0,7,6,True
62,15,1,1,1,3,1,7,7,12,1,1,1,2,0,6,4,5,0,0,1,2,1,2,5,True
215,5,0,0,1,2,1,2,5,14,1,1,1,3,0,7,6,15,1,1,1,3,1,7,7,True
135,1,0,0,0,0,1,0,1,14,1,1,1,3,0,7,6,13,1,1,1,2,1,6,5,True
298,11,1,1,0,1,1,5,3,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,True
128,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,3,True
