Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
310,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,6,0,0,1,3,0,3,6,True
8,2,0,0,0,1,0,1,2,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,True
70,0,0,0,0,0,0,0,0,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,True
282,7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
64,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,1,2,1,2,5,False
44,11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,6,0,0,1,3,0,3,6,False
14,3,0,0,0,1,1,1,3,13,1,1,1,2,1,6,5,7,0,0,1,3,1,3,7,True
156,7,0,0,1,3,1,3,7,8,1,1,0,0,0,4,0,4,0,0,1,2,0,2,4,False
40,11,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,11,1,1,0,1,1,5,3,True
305,13,1,1,1,2,1,6,5,2,0,0,0,1,0,1,2,5,0,0,1,2,1,2,5,False
123,15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,13,1,1,1,2,1,6,5,True
294,8,1,1,0,0,0,4,0,13,1,1,1,2,1,6,5,1,0,0,0,0,1,0,1,False
261,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,12,1,1,1,2,0,6,4,False
216,7,0,0,1,3,1,3,7,1,0,0,0,0,1,0,1,13,1,1,1,2,1,6,5,False
153,7,0,0,1,3,1,3,7,2,0,0,0,1,0,1,2,7,0,0,1,3,1,3,7,False
23,4,0,0,1,2,0,2,4,14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,False
278,4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,2,0,0,0,1,0,1,2,False
236,11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,1,0,0,0,0,1,0,1,True
207,3,0,0,0,1,1,1,3,15,1,1,1,3,1,7,7,9,1,1,0,0,1,4,1,False
212,5,0,0,1,2,1,2,5,8,1,1,0,0,0,4,0,3,0,0,0,1,1,1,3,True
