Unnamed: 0,stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
310,4,2,0,0,1,2,4,4,2,0,0,1,2,4,6,3,0,0,1,3,6,13,2,1,1,1,6,5,True,False
8,7,3,0,1,1,3,7,14,3,1,0,1,7,6,15,3,1,1,1,7,7,2,1,0,0,0,1,2,True,True
70,4,2,0,0,1,2,4,9,0,1,1,0,4,1,4,2,0,0,1,2,4,0,0,0,0,0,0,0,False,True
282,10,1,1,0,0,5,2,15,3,1,1,1,7,7,3,1,0,1,0,1,3,2,1,0,0,0,1,2,False,False
64,12,2,1,0,1,6,4,6,3,0,0,1,3,6,0,0,0,0,0,0,0,8,0,1,0,0,4,0,True,True
44,12,2,1,0,1,6,4,1,0,0,1,0,0,1,14,3,1,0,1,7,6,0,0,0,0,0,0,0,False,False
14,8,0,1,0,0,4,0,11,1,1,1,0,5,3,10,1,1,0,0,5,2,4,2,0,0,1,2,4,True,False
156,7,3,0,1,1,3,7,10,1,1,0,0,5,2,6,3,0,0,1,3,6,15,3,1,1,1,7,7,False,False
40,11,1,1,1,0,5,3,9,0,1,1,0,4,1,15,3,1,1,1,7,7,10,1,1,0,0,5,2,True,True
305,9,0,1,1,0,4,1,15,3,1,1,1,7,7,12,2,1,0,1,6,4,15,3,1,1,1,7,7,True,True
123,10,1,1,0,0,5,2,1,0,0,1,0,0,1,12,2,1,0,1,6,4,5,2,0,1,1,2,5,False,False
294,9,0,1,1,0,4,1,11,1,1,1,0,5,3,5,2,0,1,1,2,5,1,0,0,1,0,0,1,False,False
261,8,0,1,0,0,4,0,11,1,1,1,0,5,3,15,3,1,1,1,7,7,9,0,1,1,0,4,1,True,True
216,4,2,0,0,1,2,4,11,1,1,1,0,5,3,12,2,1,0,1,6,4,6,3,0,0,1,3,6,True,True
153,13,2,1,1,1,6,5,8,0,1,0,0,4,0,3,1,0,1,0,1,3,13,2,1,1,1,6,5,False,True
23,11,1,1,1,0,5,3,2,1,0,0,0,1,2,9,0,1,1,0,4,1,14,3,1,0,1,7,6,False,True
