,Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
0,310,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
1,8,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,8,1,1,0,0,0,4,0,True
2,70,1,0,0,0,0,1,0,1,13,1,1,1,2,1,6,5,15,1,1,1,3,1,7,7,True
3,282,7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
4,64,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,False
5,44,11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,8,1,1,0,0,0,4,0,True
6,14,3,0,0,0,1,1,1,3,12,1,1,1,2,0,6,4,12,1,1,1,2,0,6,4,True
7,156,7,0,0,1,3,1,3,7,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,False
8,40,10,1,1,0,1,0,5,2,1,0,0,0,0,1,0,1,8,1,1,0,0,0,4,0,True
9,305,12,1,1,1,2,0,6,4,3,0,0,0,1,1,1,3,2,0,0,0,1,0,1,2,True
10,123,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,True
11,294,9,1,1,0,0,1,4,1,13,1,1,1,2,1,6,5,4,0,0,1,2,0,2,4,False
12,261,0,0,0,0,0,0,0,0,10,1,1,0,1,0,5,2,10,1,1,0,1,0,5,2,True
13,216,7,0,0,1,3,1,3,7,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,True
14,153,7,0,0,1,3,1,3,7,2,0,0,0,1,0,1,2,2,0,0,0,1,0,1,2,True
15,23,4,0,0,1,2,0,2,4,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,True
16,278,4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,3,0,0,0,1,1,1,3,False
17,236,11,1,1,0,1,1,5,3,9,1,1,0,0,1,4,1,6,0,0,1,3,0,3,6,False
18,207,3,0,0,0,1,1,1,3,15,1,1,1,3,1,7,7,8,1,1,0,0,0,4,0,True
19,212,4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,11,1,1,0,1,1,5,3,True
